R_2PGLYCtg	M_2pglyc_c|M_2pglyc_g
R_2PGLYCth	M_2pglyc_c|M_2pglyc_h
R_3PG(pi)thr	M_3pg_c|M_3pg_h|M_pi_c|M_pi_h
R_3PGtg	M_3pg_c|M_3pg_g
R_A1E	M_glc_B_c|M_glc_D_c
R_ACACT	M_aacoa_c|M_accoa_c|M_coa_c
R_ACALD	M_acald_c|M_accoa_c|M_coa_c|M_h_c|M_nad_c|M_nadh_c
R_ACALDh	M_acald_h|M_accoa_h|M_coa_h|M_h_h|M_nad_h|M_nadh_h
R_ACCOAhi	M_accoa_h|M_adp_h|M_atp_h|M_h_h|M_hco3_h|M_malcoa_h|M_pi_h
R_ACCOAtg	M_accoa_c|M_accoa_g
R_ACCOAth	M_accoa_c|M_accoa_h
R_ACCOAtm	M_accoa_c|M_accoa_m
R_ACDHi	M_accoa_c|M_coa_c|M_etoh_c|M_nad_c|M_nadh_c
R_ACDHmi	M_accoa_m|M_coa_m|M_etoh_m|M_nad_m|M_nadh_m
R_ACKrh	M_ac_h|M_actp_h|M_adp_h|M_atp_h
R_ACKrm	M_ac_m|M_actp_m|M_adp_m|M_atp_m
R_ACONT	M_cit_c|M_icit_c
R_ACONTg	M_cit_g|M_icit_g
R_ACONTm	M_cit_m|M_icit_m
R_ACP	M_13dpg_c|M_3pg_c|M_h2o_c|M_h_c|M_pi_c
R_ACPh	M_13dpg_h|M_3pg_h|M_h2o_h|M_h_h|M_pi_h
R_ACS	M_ac_c|M_accoa_c|M_amp_c|M_atp_c|M_coa_c|M_ppi_c
R_ACt	M_ac_c|M_ac_e
R_ACth	M_ac_c|M_ac_h
R_ACtm	M_ac_c|M_ac_m
R_AKG(na)th	M_akg_c|M_akg_h|M_na1_c|M_na1_h
R_AKG(na)tm	M_akg_c|M_akg_m|M_na1_c|M_na1_m
R_AKGDHe2r	M_coa_m|M_dhlam_m|M_sdhlam_m|M_succoa_m
R_AKGDHmi	M_akg_m|M_co2_m|M_h_m|M_lpam_m|M_sdhlam_m
R_ALAAT	M_akg_c|M_ala_L_c|M_glu_L_c|M_pyr_c
R_ALCDH(nadp)hi	M_acald_h|M_etoh_h|M_h_h|M_nadp_h|M_nadph_h
R_ALCDH(nadp)i	M_acald_c|M_etoh_c|M_h_c|M_nadp_c|M_nadph_c
R_ALCDH(pqq)g	M_acald_g|M_etoh_g|M_pqqox_g|M_pqqrd_g
R_ALCDHi	M_acald_c|M_etoh_c|M_h_c|M_nad_c|M_nadh_c
R_ALCDHmi	M_acald_m|M_etoh_m|M_h_m|M_nad_m|M_nadh_m
R_ALDDH	M_ac_c|M_acald_c|M_h2o_c|M_h_c|M_nad_c|M_nadh_c
R_ALDDHm	M_ac_m|M_acald_m|M_h2o_m|M_h_m|M_nad_m|M_nadh_m
R_APhi	M_ac_h|M_actp_h|M_h2o_h|M_h_h|M_pi_h
R_ASPAT	M_akg_c|M_asp_L_c|M_glu_L_c|M_oaa_c
R_ASPATm	M_akg_m|M_asp_L_m|M_glu_L_m|M_oaa_m
R_ATP(3h)tg	M_adp_c|M_adp_g|M_atp_c|M_atp_g|M_h_c|M_h_g
R_ATP(3h)thr	M_adp_c|M_adp_h|M_atp_c|M_atp_h|M_h_c|M_h_h
R_ATP(3h)tm	M_adp_c|M_adp_m|M_atp_c|M_atp_m|M_h_c|M_h_m
R_ATPCSr	M_accoa_c|M_adp_c|M_atp_c|M_cit_c|M_coa_c|M_oaa_c|M_pi_c
R_ATPSh	M_adp_h|M_atp_h|M_h2o_u|M_h_h|M_h_u|M_pi_h
R_ATPSm	M_adp_m|M_atp_m|M_h2o_m|M_h_c|M_h_m|M_pi_m
R_CBFC	M_h_h|M_h_u|M_pccu1p_u|M_pccu2p_u|M_pq_u|M_pqh2_u
R_CEF	M_fdxox_u|M_fdxrd_u|M_h_h|M_h_u|M_pccu1p_u|M_pccu2p_u
R_CITg	M_cit_c|M_cit_g
R_CO2t	M_co2_c|M_co2_e
R_CO2tg	M_co2_c|M_co2_g
R_CO2th	M_co2_c|M_co2_h
R_CO2tm	M_co2_c|M_co2_m
R_COA(h)tg	M_coa_c|M_coa_g|M_h_c|M_h_g
R_COAth	M_coa_c|M_coa_h
R_COAtm	M_coa_c|M_coa_m
R_CS	M_accoa_c|M_cit_c|M_coa_c|M_h2o_c|M_h_c|M_oaa_c
R_CSg	M_accoa_g|M_cit_g|M_coa_g|M_h2o_g|M_h_g|M_oaa_g
R_CSm	M_accoa_m|M_cit_m|M_coa_m|M_h2o_m|M_h_m|M_oaa_m
R_CYOO6m	M_ficytC_m|M_focytC_m|M_h2o_m|M_h_c|M_h_m|M_o2_m
R_CYOR(q8)m	M_ficytC_m|M_focytC_m|M_h_c|M_h_m|M_q8_m|M_q8h2_m
R_D-LACDHm	M_ficytC_m|M_focytC_m|M_h_m|M_lac_D_m|M_pyr_m
R_D-LACti	M_h_c|M_h_e|M_lac_D_c|M_lac_D_e
R_D-LACtm	M_h_c|M_h_m|M_lac_D_c|M_lac_D_m
R_DHAP(pi)thr	M_dhap_c|M_dhap_h|M_pi_c|M_pi_h
R_DICtm	M_mal_L_c|M_mal_L_m|M_succ_c|M_succ_m
R_DRBKr	M_2dr5p_c|M_adp_c|M_atp_c|M_drib_c|M_h_c
R_E4Pth	M_e4p_c|M_e4p_h
R_ENO	M_2pg_c|M_h2o_c|M_pep_c
R_ENOf	M_2pg_f|M_h2o_f|M_pep_f
R_ETOHth	M_etoh_c|M_etoh_h
R_ETOHti	M_etoh_c|M_etoh_e
R_ETOHtm	M_etoh_c|M_etoh_m
R_F6P(pi)thi	M_f6p_c|M_f6p_h|M_pi_c|M_pi_h
R_FBA3hi	M_dhap_h|M_e4p_h|M_s17bp_h
R_FBAf	M_dhap_f|M_fdp_f|M_g3p_f
R_FBAh	M_dhap_h|M_fdp_h|M_g3p_h
R_FBP	M_f6p_c|M_fdp_c|M_h2o_c|M_pi_c
R_FBPh	M_f6p_h|M_fdp_h|M_h2o_h|M_pi_h
R_FDPtf	M_fdp_c|M_fdp_f
R_FKYNHg	M_Lfmkynr_g|M_Lkynr_g|M_for_g|M_h2o_g|M_h_g
R_FNORh	M_fdxox_u|M_fdxrd_u|M_h_h|M_nadp_h|M_nadph_h
R_FORAMDg	M_for_g|M_frmd_g|M_h2o_g|M_nh4_g
R_FORtgi	M_for_c|M_for_g|M_h_c|M_h_g
R_FORthi	M_for_c|M_for_h|M_h_c|M_h_h
R_FORti	M_for_c|M_for_e|M_h_c|M_h_e
R_FORtmi	M_for_c|M_for_m|M_h_c|M_h_m
R_FTHDF	M_10fthf_c|M_for_c|M_h2o_c|M_h_c|M_thf_c
R_FTHFLr	M_10fthf_c|M_adp_c|M_atp_c|M_for_c|M_pi_c|M_thf_c
R_FUMm	M_fum_m|M_h2o_m|M_mal_L_m
R_G1P(pi)thi	M_g1p_c|M_g1p_h|M_pi_c|M_pi_h
R_G3P(pi)thr	M_g3p_c|M_g3p_h|M_pi_c|M_pi_h
R_G6P(pi)thi	M_g6p_c|M_g6p_h|M_pi_c|M_pi_h
R_G6PDH	M_6pgl_c|M_g6p_c|M_h_c|M_nadp_c|M_nadph_c
R_G6PDHh	M_6pgl_h|M_g6p_h|M_h_h|M_nadp_h|M_nadph_h
R_G6PI	M_g6p_B_c|M_g6p_c
R_G6PIh	M_g6p_B_h|M_g6p_h
R_GAPDH(nadp)hi	M_13dpg_h|M_g3p_h|M_h_h|M_nadp_h|M_nadph_h|M_pi_h
R_GAPDHf	M_13dpg_f|M_g3p_f|M_h_f|M_nad_f|M_nadh_f|M_pi_f
R_GAPDHh	M_13dpg_h|M_g3p_h|M_h_h|M_nad_h|M_nadh_h|M_pi_h
R_GAPDHi	M_13dpg_c|M_g3p_c|M_h_c|M_nad_c|M_nadh_c|M_pi_c
R_GCCm	M_dhlam_m|M_h_m|M_lpam_m|M_nad_m|M_nadh_m
R_GLCPh	M_g1p_h|M_glycogen_h|M_pi_h
R_GLPThi	M_adpglc_h|M_atp_h|M_g1p_h|M_h_h|M_ppi_h
R_GLUK	M_adp_c|M_atp_c|M_g6p_B_c|M_glc_D_c|M_h_c
R_GLUKh	M_adp_h|M_atp_h|M_g6p_B_h|M_glc_B_h|M_h_h
R_GLXtg	M_glx_c|M_glx_g
R_GLYCK	M_3pg_c|M_adp_c|M_atp_c|M_glyc_R_c|M_h_c
R_GLYCLTDr	M_glx_c|M_glyclt_c|M_h_c|M_nad_c|M_nadh_c
R_GLYDH	M_glyc_R_c|M_h_c|M_hpyr_c|M_nad_c|M_nadh_c
R_GLYOXm	M_gthrd_m|M_h2o_m|M_h_m|M_lac_D_m|M_lgt_S_m
R_GNKh	M_6pgc_h|M_adp_h|M_atp_h|M_glcn_h|M_h_h
R_H2Ot	M_h2o_c|M_h2o_e
R_H2Otf	M_h2o_c|M_h2o_f
R_H2Otg	M_h2o_c|M_h2o_g
R_H2Oth	M_h2o_c|M_h2o_h
R_H2Othu	M_h2o_h|M_h2o_u
R_H2Otm	M_h2o_c|M_h2o_m
R_H2Ou_d	M_h2o_b|M_h2o_u
R_H2th	M_h2_c|M_h2_h
R_H2ti	M_h2_c|M_h2_e
R_HCO3(h)thi	M_h_c|M_h_h|M_hco3_c|M_hco3_h
R_HCO3(h)ti	M_h_c|M_h_e|M_hco3_c|M_hco3_e
R_HCO3(h)tmi	M_h_c|M_h_m|M_hco3_c|M_hco3_m
R_HCO3Ehi	M_co2_h|M_h2o_h|M_h_h|M_hco3_h
R_HCO3Ei	M_co2_c|M_h2o_c|M_h_c|M_hco3_c
R_HCO3Emi	M_co2_m|M_h2o_m|M_h_m|M_hco3_m
R_HDAO10g	M_glx_g|M_glyclt_g|M_h2o2_g|M_o2_g
R_HEXK	M_adp_c|M_atp_c|M_g6p_c|M_glc_D_c|M_h_c
R_HEXKh	M_adp_h|M_atp_h|M_g6p_h|M_glc_D_h|M_h_h
R_HOXPRm	M_2h3opp_m|M_glyc_R_m|M_h_m|M_nad_m|M_nadh_m
R_HYDAh	M_fdxox_h|M_fdxrd_h|M_h2_h|M_h_h
R_ICDH	M_akg_c|M_co2_c|M_icit_c|M_nadp_c|M_nadph_c
R_ICDHhr	M_akg_h|M_co2_h|M_icit_h|M_nadp_h|M_nadph_h
R_ICDHmr	M_akg_m|M_co2_m|M_icit_m|M_nad_m|M_nadh_m
R_ICL	M_glx_c|M_icit_c|M_succ_c
R_IDPh	M_h2o_h|M_h_h|M_pi_h|M_ppi_h
R_IDPm	M_h2o_m|M_h_m|M_pi_m|M_ppi_m
R_IPPSh	M_3c3hmp_h|M_3mob_h|M_accoa_h|M_coa_h|M_h2o_h|M_h_h
R_LDHm	M_h_m|M_lac_D_m|M_nad_m|M_nadh_m|M_pyr_m
R_LGTHLr	M_gthrd_c|M_lgt_S_c|M_mthgxl_c
R_LLDH(ferr)g	M_ficytC_g|M_focytC_g|M_h_g|M_lac_L_g|M_pyr_g
R_LLDH(ferr)m	M_ficytC_m|M_focytC_m|M_h_m|M_lac_L_m|M_pyr_m
R_LLDHh	M_h_h|M_lac_L_h|M_nad_h|M_nadh_h|M_pyr_h
R_LLDHm	M_h_m|M_lac_L_m|M_nad_m|M_nadh_m|M_pyr_m
R_MAL(na)th	M_mal_L_c|M_mal_L_h|M_na1_c|M_na1_h
R_MAL(na)tm	M_mal_L_c|M_mal_L_m|M_na1_c|M_na1_m
R_MALOAAth	M_mal_L_c|M_mal_L_h|M_oaa_c|M_oaa_h
R_MALOAAtm	M_mal_L_c|M_mal_L_m|M_oaa_c|M_oaa_m
R_MALSgr	M_accoa_g|M_coa_g|M_glx_g|M_h2o_g|M_h_g|M_mal_L_g
R_MALShr	M_accoa_h|M_coa_h|M_glx_h|M_h2o_h|M_h_h|M_mal_L_h
R_MALSmr	M_accoa_m|M_coa_m|M_glx_m|M_h2o_m|M_h_m|M_mal_L_m
R_MDH(nadp)fi	M_h_f|M_mal_L_f|M_nadp_f|M_nadph_f|M_oaa_f
R_MDH(nadp)hi	M_h_h|M_mal_L_h|M_nadp_h|M_nadph_h|M_oaa_h
R_MDHC(nadp)hr	M_co2_h|M_mal_L_h|M_nadp_h|M_nadph_h|M_pyr_h
R_MDHCmr	M_co2_m|M_mal_L_m|M_nad_m|M_nadh_m|M_pyr_m
R_MDHfi	M_h_f|M_mal_L_f|M_nad_f|M_nadh_f|M_oaa_f
R_MDHgi	M_h_g|M_mal_L_g|M_nad_g|M_nadh_g|M_oaa_g
R_MDHhi	M_h_h|M_mal_L_h|M_nad_h|M_nadh_h|M_oaa_h
R_MDHmi	M_h_m|M_mal_L_m|M_nad_m|M_nadh_m|M_oaa_m
R_MTHFCg	M_10fthf_g|M_h2o_g|M_h_g|M_methf_g
R_NADH(h)tg	M_h_c|M_h_g|M_nadh_c|M_nadh_g
R_NADHOR	M_h_m|M_nad_m|M_nadh_m|M_q8_m|M_q8h2_m
R_NADHth	M_nadh_c|M_nadh_h
R_NADHtm	M_nadh_c|M_nadh_m
R_NADPHth	M_nadph_c|M_nadph_h
R_NADPth	M_nadp_c|M_nadp_h
R_NADtg	M_nad_c|M_nad_g
R_NADth	M_nad_c|M_nad_h
R_NADtm	M_nad_c|M_nad_m
R_O2t	M_o2_c|M_o2_e
R_O2tg	M_o2_c|M_o2_g
R_O2thr	M_o2_c|M_o2_h
R_O2tmr	M_o2_c|M_o2_m
R_O2trhu	M_o2_h|M_o2_u
R_O2u_d	M_o2_b|M_o2_u
R_OXADCm	M_co2_m|M_for_m|M_h_m|M_oxa_m
R_PCr	M_adp_c|M_atp_c|M_h_c|M_hco3_c|M_oaa_c|M_pi_c|M_pyr_c
R_PDCh	M_2ahethmpp_h|M_acald_h|M_h_h|M_thmpp_h
R_PDCm	M_2ahethmpp_m|M_acald_m|M_h_m|M_thmpp_m
R_PDHam1hi	M_2ahethmpp_h|M_co2_h|M_pyr_h|M_thmpp_h
R_PDHam1mi	M_2ahethmpp_m|M_co2_m|M_pyr_m|M_thmpp_m
R_PDHam2hi	M_2ahethmpp_h|M_adhlam_h|M_lpam_h|M_thmpp_h
R_PDHam2mi	M_2ahethmpp_m|M_adhlam_m|M_lpam_m|M_thmpp_m
R_PDHe2hr	M_accoa_h|M_adhlam_h|M_coa_h|M_dhlam_h|M_h_h
R_PDHe2r	M_accoa_m|M_adhlam_m|M_coa_m|M_dhlam_m|M_h_m
R_PDHe3hr	M_dhlam_h|M_h_h|M_lpam_h|M_nad_h|M_nadh_h
R_PEPth	M_h_c|M_h_h|M_pep_c|M_pep_h
R_PFKh	M_adp_h|M_atp_h|M_f6p_h|M_fdp_h|M_h_h
R_PFLACTm	M_accoa_m|M_coa_m|M_for_m|M_pyr_m
R_PFLh	M_accoa_h|M_coa_h|M_for_h|M_pyr_h
R_PGCM	M_g1p_c|M_g6p_c
R_PGDH	M_6pgc_c|M_co2_c|M_nadp_c|M_nadph_c|M_ru5p_D_c
R_PGDHh	M_6pgc_h|M_co2_h|M_nadp_h|M_nadph_h|M_ru5p_D_h
R_PGI	M_f6p_c|M_g6p_c
R_PGIh	M_f6p_h|M_g6p_h
R_PGKf	M_13dpg_f|M_3pg_f|M_adp_f|M_atp_f
R_PGKh	M_13dpg_h|M_3pg_h|M_adp_h|M_atp_h
R_PGKi	M_13dpg_c|M_3pg_c|M_adp_c|M_atp_c
R_PGLYCPg	M_2pglyc_g|M_glyclt_g|M_h2o_g|M_pi_g
R_PGLh	M_6pgc_h|M_6pgl_h|M_h2o_h|M_h_h
R_PGM	M_2pg_c|M_3pg_c
R_PGMTh	M_g1p_h|M_g6p_h
R_PGMf	M_2pg_f|M_3pg_f
R_PIt	M_h_c|M_h_e|M_pi_c|M_pi_e
R_PItf	M_h_c|M_h_f|M_pi_c|M_pi_f
R_PItg	M_h_c|M_h_g|M_pi_c|M_pi_g
R_PItm	M_h_c|M_h_m|M_pi_c|M_pi_m
R_PPC	M_co2_c|M_h2o_c|M_h_c|M_oaa_c|M_pep_c|M_pi_c
R_PPCKr	M_adp_c|M_atp_c|M_co2_c|M_oaa_c|M_pep_c
R_PPDKh	M_amp_h|M_atp_h|M_h_h|M_pep_h|M_pi_h|M_ppi_h|M_pyr_h
R_PPIth	M_ppi_c|M_ppi_h
R_PPM	M_r1p_c|M_r5p_c
R_PPMh	M_r1p_h|M_r5p_h
R_PRUK	M_adp_h|M_atp_h|M_h_h|M_rb15bp_h|M_ru5p_D_h
R_PSI	M_fdxox_u|M_fdxrd_u|M_pccu1p_u|M_pccu2p_u|M_photon_u
R_PSII	M_h2o_u|M_o2_u|M_photon_u|M_pq_u|M_pqh2_u
R_PTArh	M_accoa_h|M_actp_h|M_coa_h|M_pi_h
R_PTArm	M_accoa_m|M_actp_m|M_coa_m|M_pi_m
R_PYK	M_adp_c|M_atp_c|M_h_c|M_pep_c|M_pyr_c
R_PYKf	M_adp_f|M_atp_f|M_h_f|M_pep_f|M_pyr_f
R_PYRShi	M_accoa_h|M_co2_h|M_coa_h|M_fdxox_h|M_fdxrd_h|M_h_h|M_pyr_h
R_PYRtf	M_pyr_c|M_pyr_f
R_PYRth	M_pyr_c|M_pyr_h
R_PYRtm	M_pyr_c|M_pyr_m
R_R5Pth	M_r5p_c|M_r5p_h
R_RBCh	M_2pglyc_h|M_3pg_h|M_h_h|M_o2_h|M_rb15bp_h
R_RBKr	M_adp_c|M_atp_c|M_h_c|M_r5p_c|M_rib_D_c
R_RBPCh	M_3pg_h|M_co2_h|M_h2o_h|M_h_h|M_rb15bp_h
R_RPDPK	M_amp_c|M_atp_c|M_h_c|M_prpp_c|M_r5p_c
R_RPEh	M_ru5p_D_h|M_xu5p_D_h
R_RPIh	M_r5p_h|M_ru5p_D_h
R_SBP	M_h2o_h|M_pi_h|M_s17bp_h|M_s7p_h
R_STARCH300DEGR	M_g1p_h|M_glc_D_h|M_h2o_h|M_pi_h|M_starch300_h
R_STARCH300DEGR2	M_g1p_h|M_glc_D_h|M_h2o_h|M_pi_h|M_starch300_h
R_STARCH300S	M_adp_h|M_adpglc_h|M_h2o_h|M_h_h|M_starch300_h
R_SUCCtg	M_succ_c|M_succ_g
R_SUCDH(q8)m	M_fum_m|M_q8_m|M_q8h2_m|M_succ_m
R_SUCDHh	M_fad_h|M_fadh2_h|M_fum_h|M_succ_h
R_SUCDHmr	M_fad_m|M_fadh2_m|M_fum_m|M_succ_m
R_SUCFUMthr	M_fum_c|M_fum_h|M_succ_c|M_succ_h
R_SUCFUMtmr	M_fum_c|M_fum_m|M_succ_c|M_succ_m
R_SUCL(gdp)m	M_coa_m|M_gdp_m|M_gtp_m|M_pi_m|M_succ_m|M_succoa_m
R_SUCLm	M_adp_m|M_atp_m|M_coa_m|M_pi_m|M_succ_m|M_succoa_m
R_TAh	M_e4p_h|M_f6p_h|M_g3p_h|M_s7p_h
R_TKT1h	M_g3p_h|M_r5p_h|M_s7p_h|M_xu5p_D_h
R_TKT2h	M_e4p_h|M_f6p_h|M_g3p_h|M_xu5p_D_h
R_TPIh	M_dhap_h|M_g3p_h
