R00004	C00001|C00009|C00013
R00006	C00011|C00022|C00900
R00009	C00001|C00007|C00027
R00010	C00001|C00031|C01083
R00014	C00011|C00022|C00068|C05125
R00017	C00001|C00027|C00125|C00126
R00021	C00025|C00026|C00064|C00080|C00138|C00139
R00024	C00001|C00011|C00197|C01182
R00026	C00001|C00185|C00221
R00036	C00001|C00430|C00931
R00066	C00255|C04332|C04732
R00068	C00001|C00007|C00072|C05422
R00075	C00019|C00170|C05324
R00076	C00002|C00008|C02307|C02308
R00078	C00001|C00007|C00080|C14818|C14819
R00083	C00001|C00007|C01785|C05309
R00084	C00001|C00014|C00931|C01024
R00086	C00001|C00002|C00008|C00009
R00094	C00003|C00004|C00051|C00080|C00127
R00095	C00003|C00004|C00072|C00080|C01041
R00100	C00003|C00004|C00080|C00996|C00999
R00103	C00001|C00003|C00020|C00455
R00104	C00002|C00003|C00006|C00008
R00111	C00001|C00005|C00006|C00007|C00080|C00327|C00533|C05933
R00115	C00005|C00006|C00051|C00080|C00127
R00122	C00001|C00008|C00009|C00020
R00124	C00002|C00008
R00127	C00002|C00008|C00020
R00130	C00002|C00008|C00010|C00882
R00131	C00001|C00011|C00014|C00086
R00132	C00001|C00011|C01353
R00135	C00001|C00012|C00148
R00137	C00002|C00003|C00013|C00455
R00155	C00001|C00009|C00015|C00105
R00156	C00002|C00008|C00015|C00075
R00157	C00008|C00015|C00020|C00075
R00158	C00002|C00008|C00015|C00105
R00159	C00001|C00009|C00015|C00075
R00162	C00002|C00008|C00017|C00562
R00164	C00001|C00009|C00017|C00562
R00173	C00001|C00009|C00018|C00250
R00174	C00002|C00008|C00018|C00250
R00177	C00001|C00002|C00009|C00013|C00019|C00073
R00178	C00011|C00019|C00080|C01137
R00179	C00019|C00170|C01234
R00181	C00001|C00014|C00020|C00130
R00183	C00001|C00009|C00020|C00212
R00190	C00013|C00020|C00119|C00147
R00192	C00001|C00021|C00155|C00212
R00197	C00022|C00080|C00125|C00126|C00256
R00200	C00002|C00008|C00022|C00074
R00206	C00002|C00009|C00013|C00020|C00022|C00074
R00214	C00003|C00004|C00011|C00022|C00080|C00149
R00216	C00005|C00006|C00011|C00022|C00080|C00149
R00226	C00011|C00022|C06010
R00234	C00010|C00012|C00024|C03011
R00235	C00002|C00010|C00013|C00020|C00024|C00033
R00236	C00010|C00020|C00024|C05993
R00238	C00010|C00024|C00332
R00239	C00002|C00008|C00025|C03287
R00243	C00001|C00003|C00004|C00014|C00025|C00026|C00080
R00248	C00001|C00005|C00006|C00014|C00025|C00026|C00080
R00253	C00002|C00008|C00009|C00014|C00025|C00064
R00257	C00001|C00002|C00003|C00013|C00020|C00025|C00064|C00857
R00258	C00022|C00025|C00026|C00041
R00259	C00010|C00024|C00025|C00624
R00261	C00011|C00025|C00334
R00264	C00001|C00005|C00006|C00026|C00080|C00433
R00267	C00005|C00006|C00011|C00026|C00080|C00311
R00268	C00011|C00026|C05379
R00269	C00001|C00014|C00026|C00940
R00274	C00001|C00027|C00051|C00127
R00275	C00007|C00027|C00080|C00704
R00281	C00003|C00004|C00028|C00030|C00080
R00286	C00001|C00003|C00004|C00029|C00080|C00167
R00289	C00013|C00029|C00075|C00103
R00291	C00029|C00052
R00293	C00001|C00029|C04089
R00299	C00002|C00008|C00031|C00092
R00310	C00032|C00080|C02191|C14818
R00316	C00002|C00013|C00033|C05993
R00317	C00001|C00009|C00033|C00227
R00328	C00001|C00009|C00035|C00144
R00330	C00002|C00008|C00035|C00044
R00332	C00002|C00008|C00035|C00144
R00335	C00001|C00009|C00035|C00044
R00341	C00002|C00008|C00011|C00036|C00074
R00342	C00003|C00004|C00036|C00080|C00149
R00343	C00005|C00006|C00036|C00080|C00149
R00345	C00001|C00009|C00011|C00036|C00074
R00348	C00001|C00014|C00036|C02362
R00351	C00001|C00010|C00024|C00036|C00158
R00352	C00002|C00008|C00009|C00010|C00024|C00036|C00158
R00355	C00025|C00026|C00036|C00049
R00357	C00001|C00007|C00014|C00027|C00036|C00049
R00369	C00022|C00037|C00041|C00048
R00372	C00025|C00026|C00037|C00048
R00375	C00013|C00039|C00131
R00376	C00013|C00039|C00286
R00377	C00013|C00039|C00458
R00378	C00013|C00039|C00459
R00379	C00013|C00039|C00677
R00381	C00002|C00013|C00020|C00039|C02128
R00416	C00013|C00043|C00075|C04501
R00425	C00001|C00013|C00044|C00058|C01304
R00426	C00001|C00013|C00044|C00144
R00428	C00001|C00044|C05922
R00430	C00022|C00035|C00044|C00074
R00432	C00009|C00010|C00035|C00042|C00044|C00091
R00435	C00002|C00013|C00046
R00437	C00008|C00009|C00046
R00438	C00009|C00015|C00046
R00439	C00009|C00035|C00046
R00440	C00009|C00046|C00112
R00441	C00013|C00044|C00046
R00442	C00013|C00046|C00063
R00443	C00013|C00046|C00075
R00451	C00011|C00047|C00680
R00472	C00001|C00010|C00024|C00048|C00149
R00475	C00007|C00027|C00048|C00160
R00480	C00002|C00008|C00049|C03082
R00481	C00007|C00027|C00049|C05840
R00486	C00001|C00014|C00049|C02512
R00489	C00011|C00049|C00099
R00494	C00001|C00025|C00051|C01419
R00497	C00002|C00008|C00009|C00037|C00051|C00669
R00508	C00001|C00009|C00053|C00224
R00509	C00002|C00008|C00053|C00224
R00511	C00001|C00009|C00055|C00475
R00512	C00002|C00008|C00055|C00112
R00513	C00002|C00008|C00055|C00475
R00514	C00001|C00009|C00055|C00112
R00516	C00015|C00055|C00075|C00475
R00517	C00035|C00044|C00055|C00475
R00519	C00003|C00004|C00011|C00058|C00080
R00524	C00001|C00014|C00058|C00488
R00527	C00001|C00051|C00058|C01031
R00529	C00002|C00013|C00059|C00224
R00533	C00001|C00007|C00027|C00059|C00094
R00540	C00001|C00014|C00060|C00726
R00548	C00001|C00009|C00061|C00255
R00549	C00002|C00008|C00061|C00255
R00551	C00001|C00062|C00077|C00086
R00555	C00003|C00153|C00613|C16011
R00557	C00001|C00005|C00006|C00007|C00062|C00080|C00327|C00533
R00558	C00001|C00005|C00006|C00007|C00062|C00080|C05933
R00566	C00011|C00062|C00179
R00569	C00001|C00009|C00063|C00112
R00570	C00002|C00008|C00063|C00112
R00571	C00002|C00008|C00009|C00014|C00063|C00075
R00573	C00001|C00002|C00008|C00009|C00025|C00063|C00064|C00075
R00575	C00001|C00002|C00008|C00009|C00025|C00064|C00169|C00288
R00578	C00001|C00002|C00013|C00020|C00025|C00049|C00064|C00152
R00582	C00001|C00009|C00065|C01005
R00585	C00022|C00041|C00065|C00168
R00586	C00010|C00024|C00065|C00979
R00588	C00037|C00048|C00065|C00168
R00589	C00065|C00740
R00595	C00019|C00021|C04155|C17325
R00600	C00019|C00021|C01977|C04160
R00602	C00001|C00027|C00067|C00132
R00616	C00002|C00008|C00068|C03028
R00619	C00002|C00020|C00068|C00378
R00621	C00011|C00026|C00068|C05381
R00623	C00003|C00004|C00071|C00080|C00226
R00631	C00001|C00003|C00004|C00071|C00080|C00162
R00640	C00072|C00080|C00125|C00126|C01115
R00644	C00001|C00027|C00072|C05422
R00650	C00019|C00021|C00073|C00155
R00654	C00001|C00014|C00073|C00109|C00409
R00658	C00001|C00074|C00631
R00662	C00001|C00013|C00075|C00105
R00667	C00025|C00026|C00077|C01165
R00669	C00001|C00033|C00077|C00437
R00670	C00011|C00077|C00134
R00674	C00001|C00065|C00078|C00463
R00691	C00001|C00011|C00079|C00826
R00694	C00025|C00026|C00079|C00166
R00697	C00014|C00079|C00423
R00698	C00007|C00011|C00079|C02505
R00702	C00013|C00448|C03428
R00703	C00003|C00004|C00022|C00080|C00186
R00705	C00003|C00004|C00010|C00011|C00024|C00080|C00222
R00706	C00005|C00006|C00010|C00011|C00024|C00080|C00222
R00709	C00003|C00004|C00011|C00026|C00080|C00311
R00710	C00001|C00003|C00004|C00033|C00080|C00084
R00711	C00001|C00005|C00006|C00033|C00080|C00084
R00713	C00001|C00003|C00004|C00042|C00080|C00232
R00714	C00001|C00005|C00006|C00042|C00080|C00232
R00716	C00001|C00005|C00006|C00026|C00047|C00080|C00449
R00719	C00001|C00009|C00081|C00104
R00720	C00001|C00013|C00081|C00130
R00722	C00002|C00008|C00081|C00104
R00727	C00009|C00010|C00042|C00081|C00091|C00104
R00733	C00005|C00006|C00011|C00080|C00082|C00826
R00734	C00025|C00026|C00082|C01179
R00736	C00011|C00082|C00483
R00737	C00014|C00082|C00811
R00740	C00005|C00006|C00010|C00080|C00083|C00222
R00742	C00002|C00008|C00009|C00024|C00083|C00288
R00751	C00037|C00084|C00188
R00754	C00003|C00004|C00080|C00084|C00469
R00755	C00068|C00084|C05125
R00762	C00001|C00009|C00085|C00354
R00766	C00015|C00029|C00085|C02591
R00782	C00001|C00014|C00022|C00097|C00283
R00802	C00001|C00089|C00267|C02336
R00805	C00001|C00009|C00089|C02591
R00806	C00015|C00029|C00089|C00095
R00829	C00010|C00024|C00091|C02232
R00842	C00003|C00004|C00080|C00093|C00111
R00847	C00002|C00008|C00093|C00116
R00848	C00016|C00093|C00111|C01352
R00851	C00010|C00040|C00093|C00681
R00855	C00001|C00055|C00093|C00513
R00859	C00001|C00080|C00094|C00138|C00139|C00283
R00867	C00002|C00008|C00095|C05345
R00875	C00003|C00004|C00080|C00095|C00794
R00878	C00095|C00267
R00885	C00013|C00044|C00096|C00636
R00888	C00001|C00096|C01222
R00889	C00096|C02280
R00894	C00002|C00008|C00009|C00025|C00097|C00669
R00896	C00026|C00097|C00302|C00957
R00897	C00033|C00097|C00283|C00979
R00899	C00001|C00037|C00097|C01419
R00904	C00001|C00003|C00004|C00080|C00099|C05665
R00905	C00001|C00011|C00014|C00099|C02642
R00926	C00010|C00020|C00100|C05983
R00927	C00010|C00024|C00100|C03344
R00935	C00003|C00004|C00010|C00011|C00080|C00100|C06002
R00936	C00003|C00004|C00080|C00101|C00415
R00937	C00003|C00004|C00080|C00101|C00504
R00939	C00005|C00006|C00080|C00101|C00415
R00940	C00005|C00006|C00080|C00101|C00504
R00942	C00002|C00008|C00009|C00025|C00101|C09332
R00944	C00001|C00058|C00101|C00234
R00945	C00001|C00037|C00065|C00101|C00143
R00948	C00002|C00013|C00103|C00498
R00955	C00029|C00052|C00103|C00446
R00959	C00103|C00668
R00961	C00001|C00009|C00104|C00130
R00962	C00055|C00081|C00104|C00475
R00963	C00001|C00009|C00105|C00299
R00964	C00002|C00008|C00105|C00299
R00965	C00011|C00105|C01103
R00966	C00013|C00105|C00106|C00119
R00967	C00015|C00075|C00105|C00299
R00968	C00035|C00044|C00105|C00299
R00970	C00081|C00104|C00105|C00299
R00978	C00005|C00006|C00080|C00106|C00429
R00985	C00001|C00014|C00022|C00108|C00251
R00986	C00022|C00025|C00064|C00108|C00251
R00994	C00003|C00004|C00011|C00080|C00109|C06032
R00999	C00001|C00014|C00042|C00109|C01118
R01000	C00003|C00004|C00080|C00109|C05984
R01004	C00001|C00009|C00110|C00621
R01005	C00015|C00029|C00110|C01246
R01009	C00035|C00096|C00110|C03862
R01011	C00002|C00008|C00111|C00184
R01015	C00111|C00118
R01021	C00002|C00008|C00114|C00588
R01028	C00001|C00059|C00114|C00919
R01030	C00001|C00093|C00114|C00670
R01036	C00003|C00004|C00080|C00116|C00577
R01041	C00005|C00006|C00080|C00116|C00577
R01049	C00002|C00020|C00117|C00119
R01051	C00002|C00008|C00117|C00121
R01054	C00001|C00020|C00117|C00301
R01055	C00001|C00106|C00117|C01168
R01056	C00117|C00199
R01057	C00117|C00620
R01058	C00001|C00005|C00006|C00080|C00118|C00197
R01061	C00003|C00004|C00009|C00080|C00118|C00236
R01063	C00005|C00006|C00009|C00080|C00118|C00236
R01067	C00085|C00118|C00231|C00279
R01068	C00111|C00118|C00354
R01070	C00111|C00118|C05378
R01071	C00002|C00013|C00119|C02739
R01072	C00001|C00013|C00025|C00064|C00119|C03090
R01073	C00013|C00108|C00119|C04302
R01078	C00019|C00073|C00080|C00120|C01909|C05198|C05359|C17023
R01080	C00001|C00106|C00121|C00299
R01082	C00001|C00122|C00149
R01083	C00020|C00122|C03794
R01085	C00001|C00022|C00122|C02514
R01086	C00062|C00122|C03406
R01090	C00025|C00026|C00123|C00233
R01092	C00002|C00008|C00124|C00446
R01093	C00003|C00004|C00080|C00124|C01697
R01095	C00005|C00006|C00080|C00124|C01697
R01101	C00001|C00031|C00124|C05402
R01103	C00001|C00089|C00124|C00492
R01104	C00001|C00116|C00124|C05401
R01108	C00051|C00072|C00127|C05422
R01121	C00002|C00008|C00009|C00011|C00129|C01143
R01122	C00013|C00066|C00235|C04432
R01123	C00129|C00235
R01126	C00001|C00009|C00130|C00294
R01130	C00001|C00003|C00004|C00080|C00130|C00655
R01132	C00013|C00119|C00130|C00262
R01135	C00009|C00035|C00044|C00049|C00130|C03794
R01137	C00002|C00008|C00131|C00206
R01138	C00022|C00074|C00131|C00206
R01152	C00001|C00011|C00014|C00134|C00436
R01163	C00001|C00003|C00004|C00080|C00135|C01929
R01175	C00016|C00136|C00877|C01352
R01177	C00010|C00024|C00136|C05269
R01184	C00001|C00007|C00137|C00191
R01185	C00001|C00009|C00137|C01177
R01186	C00001|C00009|C00137|C03546
R01187	C00001|C00009|C00137|C04006
R01194	C00001|C00124|C00137|C01235
R01195	C00005|C00006|C00080|C00138|C00139
R01206	C00001|C00140|C00461
R01209	C00001|C00141|C04039
R01213	C00001|C00010|C00024|C00141|C02504
R01214	C00025|C00026|C00141|C00183
R01221	C00003|C00004|C00011|C00014|C00037|C00080|C00101|C00143
R01224	C00005|C00006|C00080|C00143|C00440
R01226	C00001|C00101|C00141|C00143|C00966
R01227	C00001|C00009|C00144|C00387
R01229	C00013|C00119|C00144|C00242
R01230	C00002|C00013|C00014|C00020|C00144|C00655
R01231	C00001|C00002|C00013|C00020|C00025|C00064|C00144|C00655
R01248	C00003|C00004|C00080|C00148|C03912
R01251	C00005|C00006|C00080|C00148|C03912
R01252	C00007|C00011|C00026|C00042|C00148|C01157
R01253	C00028|C00030|C00148|C03912
R01262	C00051|C00151|C01419|C03740
R01274	C00001|C00010|C00154|C00249
R01278	C00005|C00006|C00080|C00154|C05272
R01279	C00016|C00154|C01352|C05272
R01280	C00002|C00010|C00013|C00020|C00154|C00249
R01281	C00010|C00011|C00065|C00154|C02934
R01285	C00001|C00014|C00022|C00155|C00542
R01286	C00001|C00014|C00022|C00155|C02291
R01288	C00042|C00155|C00283|C01118
R01310	C00001|C00114|C00157|C00416
R01312	C00001|C00157|C00588|C00641
R01315	C00001|C00157|C00162|C04230
R01317	C00001|C00157|C00219|C04230
R01318	C00010|C00040|C00157|C04230
R01324	C00158|C00311
R01325	C00001|C00158|C00417
R01326	C00002|C00008|C00159|C00275
R01329	C00001|C00124|C00159|C05400
R01334	C00001|C00009|C00160|C00988
R01354	C00002|C00013|C00163|C05983
R01360	C00024|C00164|C00356
R01361	C00003|C00004|C00080|C00164|C01089
R01364	C00001|C00122|C00164|C01061
R01372	C00007|C00011|C00166|C05852
R01373	C00001|C00011|C00166|C00254
R01378	C00166|C02763
R01384	C00011|C00167|C00190
R01385	C00167|C00617
R01386	C00011|C00167|C01623
R01388	C00003|C00004|C00080|C00168|C00258
R01397	C00009|C00049|C00169|C00438
R01398	C00009|C00077|C00169|C00327
R01401	C00001|C00147|C00170|C03089
R01409	C00071|C00177|C05712
R01415	C00005|C00006|C00080|C00178|C00906
R01416	C00001|C00014|C00179|C00436
R01421	C00001|C00009|C00180|C06206
R01431	C00005|C00006|C00080|C00181|C00379
R01432	C00181|C00310
R01433	C00001|C00181|C02352
R01451	C00003|C00004|C00080|C00187|C01164
R01456	C00005|C00006|C00080|C00187|C01164
R01457	C00005|C00006|C00080|C00187|C01802
R01462	C00001|C00162|C00187|C02530
R01466	C00001|C00009|C00188|C01102
R01468	C00002|C00008|C00189|C00346
R01470	C00001|C00093|C00189|C01233
R01473	C00190|C00935
R01494	C00001|C00162|C00195|C00319
R01495	C00002|C00008|C00195|C02960
R01496	C00010|C00040|C00195|C00319
R01498	C00001|C00031|C00195|C01190
R01512	C00002|C00008|C00197|C00236
R01513	C00003|C00004|C00080|C00197|C03232
R01514	C00002|C00008|C00197|C00258
R01515	C00001|C00009|C00197|C00236
R01518	C00197|C00631
R01523	C00002|C00008|C00199|C01182
R01528	C00005|C00006|C00011|C00080|C00199|C00345
R01529	C00199|C00231
R01530	C00199|C01112
R01547	C00002|C00008|C00206|C00360
R01548	C00055|C00131|C00206|C00475
R01549	C00105|C00131|C00206|C00299
R01560	C00001|C00014|C00212|C00294
R01569	C00001|C00009|C00214|C00364
R01600	C00002|C00008|C00221|C01172
R01602	C00221|C00267
R01613	C00010|C00011|C00083|C00223|C06561
R01615	C00005|C00006|C00010|C00080|C00223|C05608
R01616	C00002|C00010|C00013|C00020|C00223|C00811
R01624	C00010|C00024|C00229|C03939
R01625	C00010|C00054|C00229|C03688
R01626	C00010|C00083|C00229|C01209
R01639	C00002|C00008|C00231|C00310
R01641	C00117|C00118|C00231|C05382
R01658	C00013|C00129|C00235|C00341
R01663	C00001|C00014|C00239|C00365
R01664	C00001|C00009|C00239|C00881
R01665	C00002|C00008|C00239|C00705
R01667	C00001|C00009|C00239|C00705
R01668	C00001|C00013|C00239|C00458
R01678	C00001|C00124|C00243|C00267
R01682	C00011|C00245|C00506
R01687	C00012|C00245|C03193|C05844
R01698	C00003|C00004|C00080|C00248|C00579
R01699	C00011|C00022|C15972|C16255
R01706	C00001|C00229|C00249|C05764
R01708	C00005|C00006|C00080|C00250|C00314
R01714	C00009|C00251|C01269
R01715	C00251|C00254
R01717	C00251|C00885
R01724	C00013|C00119|C00253|C01185
R01731	C00036|C00049|C00254|C00826
R01736	C00001|C00051|C00256|C03451
R01737	C00002|C00008|C00257|C00345
R01752	C00001|C00003|C00004|C00080|C00258|C00577
R01758	C00003|C00004|C00080|C00259|C00532
R01759	C00005|C00006|C00080|C00259|C00532
R01762	C00001|C00259|C02474
R01767	C00177|C00261|C00561
R01771	C00002|C00008|C00263|C01102
R01773	C00003|C00004|C00080|C00263|C00441
R01775	C00005|C00006|C00080|C00263|C00441
R01778	C00003|C00004|C00080|C00264|C00640
R01786	C00002|C00008|C00267|C00668
R01787	C00005|C00006|C00080|C00267|C00794
R01799	C00013|C00063|C00269|C00416
R01801	C00055|C00093|C00269|C03892
R01802	C00055|C00137|C00269|C01194
R01818	C00275|C00636
R01819	C00275|C05345
R01826	C00001|C00009|C00074|C00279|C04691
R01827	C00118|C00279|C05345|C05382
R01829	C00111|C00279|C00447
R01830	C00118|C00231|C00279|C05345
R01834	C00028|C00030|C00280|C00674
R01845	C00001|C00009|C00447|C05382
R01855	C00001|C00013|C00286|C00362
R01857	C00002|C00008|C00286|C00361
R01858	C00022|C00074|C00286|C00361
R01868	C00295|C00337|C15602|C15603
R01870	C00013|C00119|C00295|C01103
R01878	C00001|C00014|C00299|C00475
R01880	C00105|C00286|C00299|C00361
R01881	C00002|C00008|C00300|C02305
R01887	C00001|C00014|C00302|C05715
R01890	C00013|C00063|C00307|C00588
R01899	C00005|C00006|C00080|C00311|C05379
R01900	C00001|C00311|C00417
R01909	C00002|C00008|C00314|C00627
R01911	C00001|C00009|C00314|C00627
R01914	C00001|C00007|C00027|C00315|C00555|C00986
R01920	C00134|C00170|C00315|C01137
R01926	C00002|C00008|C00319|C06124
R01931	C00094|C00177|C00320|C01755
R01933	C00003|C00004|C00010|C00011|C00080|C00322|C00527
R01940	C00011|C00322|C06157|C15972
R01941	C00005|C00006|C00010|C00080|C00323|C10945
R01942	C00019|C00021|C00323|C00406
R01943	C00002|C00010|C00013|C00020|C00323|C01197
R01945	C00010|C00296|C00323|C00852
R01954	C00002|C00013|C00020|C00049|C00327|C03406
R01961	C00002|C00008|C00329|C00352
R01968	C00001|C00009|C00330|C00362
R01975	C00003|C00004|C00080|C00332|C01144
R01976	C00005|C00006|C00080|C00332|C01144
R01978	C00001|C00010|C00024|C00332|C00356
R01986	C00001|C00005|C00006|C00080|C00334|C00555
R01993	C00001|C00337|C00438
R02003	C00013|C00129|C00341|C00448
R02016	C00005|C00006|C00080|C00342|C00343
R02017	C00001|C00008|C00206|C00342|C00343
R02019	C00001|C00035|C00342|C00343|C00361
R02024	C00001|C00112|C00342|C00343|C00705
R02027	C00001|C00093|C00344|C00641
R02030	C00055|C00269|C00344|C05980
R02035	C00001|C00345|C01236
R02037	C00019|C00021|C00346|C01210
R02038	C00013|C00063|C00346|C00570
R02051	C00001|C00189|C00350|C00416
R02052	C00001|C00346|C00350|C00641
R02053	C00001|C00162|C00350|C04438
R02055	C00011|C00350|C02737
R02057	C00055|C00350|C00570|C00641
R02058	C00010|C00024|C00352|C00357
R02061	C00013|C00129|C00353|C00448
R02063	C00005|C00006|C00080|C00353|C05427
R02065	C00013|C00353|C03427
R02068	C00353|C06089
R02073	C00009|C00013|C05345|C05378
R02080	C00011|C00355|C03758
R02082	C00005|C00006|C00010|C00080|C00356|C00418
R02085	C00001|C00356|C03231
R02088	C00001|C00009|C00360|C00559
R02090	C00002|C00008|C00361|C00362
R02091	C00055|C00286|C00361|C00475
R02092	C00001|C00009|C00363|C00364
R02093	C00002|C00008|C00363|C00459
R02094	C00002|C00008|C00363|C00364
R02095	C00001|C00009|C00363|C00459
R02096	C00055|C00363|C00459|C00475
