2AGPEAT160	2agpe160|amp|atp|h|hdca|pe160|ppi
NTD3	dcmp|dcyt|h|h2o|pi
NTD4	cmp|cytd|h|h2o|pi
NTD5	dtmp|h|h2o|pi|thymd
NTD6	dad_2|damp|h|h2o|pi
NTD7	adn|amp|h|h2o|pi
NTD8	dgmp|dgsn|h|h2o|pi
NTD9	gmp|gsn|h|h2o|pi
NTPP2	gmp|gtp|h2o|ppi
NTPP3	dcmp|dctp|h2o|ppi
NTPP4	cmp|ctp|h2o|ppi
NTPP5	damp|datp|h2o|ppi
NTPP7	dtmp|dttp|h2o|ppi
NTPP8	h2o|ppi|ump|utp
NTPTP1	dgsn|dgtp|h|h2o|pppi
NTPTP2	gsn|gtp|h|h2o|pppi
NTRIR2x	h|h2o|nad|nadh|nh4|no2
NTRIRy	h|h2o|nadp|nadph|nh4|no2
O16RHAT	dtdp|dtdprmn|ragund|unaga
O2t	o2
OCBT	cbp|citr_L|h|orn|pi
OCDCAt2	h|ocdca
OCOAT1r	aacoa|acac|succ|succoa
OCTDPS	frdp|ipdp|octdp|ppi
OHPBAT	akg|glu_L|ohpb|phthr
OMCDC	3c4mop|4mop|co2|h
OMPDC	co2|h|orot5p|ump
OPAH	5oxpro|adp|atp|glu_L|h|h2o|pi
ORNTA	akg|glu5sa|glu_L|orn
ORNTAC	acglu|acorn|glu_L|orn
ORNt	orn
ORPT	orot|orot5p|ppi|prpp
OXACOAL	amp|atp|coa|h|oxa|oxalcoa|ppi
OXCDC	co2|forcoa|h|oxalcoa
OXGDC	akg|co2|h|sucsal
OXGDC2	akg|co2|h|ssaltpp|thmpp
P5CD	1pyr5c|glu_L|h|h2o|nad|nadh
P5CR	1pyr5c|h|nadp|nadph|pro_L
P5CRx	1pyr5c|h|nad|nadh|pro_L
PACt2r	h|pac
PANTS	ala_B|amp|atp|pant_R|pnto_R|ppi
PAPA160	12dgr160|h|h2o|pa160|pi
PAPPT1	uAgla|uaAgla|udcpp|ump
PAPPT2	uGgla|uaGgla|udcpp|ump
PAPPT3	uagmda|udcpp|ugmda|ump
PAPR	pap|paps|so3|trdox|trdrd
PATS	h|h2o|ocdca|pat|tmlgnc|tre
PC	adp|atp|h|hco3|oaa|pi|pyr
PC11M	ahcys|amet|h|pre4|pre5
PC17M	ahcys|amet|h|pre3b|pre4
PC20M	ahcys|amet|dscl|h|pre3a
PC6AR	h|nadp|nadph|pre6a|pre6b
PC6YM	ahcys|amet|co2|h|pre6b|pre8
PC8XM	h|hgbyr|pre8
PDE1	amp|camp|h2o
PDE4	35cgmp|gmp|h2o
PDH	accoa|co2|coa|nad|nadh|pyr
PDHa	adhlam|co2|h|lpam|pyr
PDHbr	accoa|adhlam|coa|dhlam
PDHc	dhlam|h|lpam|nad|nadh
PDIMAS	h|h2o|pdima|phthiocerol|tamocta
PDIMAT	pdima
PDX5PO	h2o2|o2|pdx5p|pydx5p
PEAMNO	h2o|h2o2|nh4|o2|pacald|peamn
PEPCK_re	co2|gdp|gtp|h|oaa|pep
PERD	4per|h|nad|nadh|ohpb
PFK	adp|atp|f6p|fdp
PFL	accoa|coa|for|pyr
PGAMT	gam1p|gam6p
PGCD	3pg|3php|h|nad|nadh
PGI	f6p|g6p
PGK	13dpg|3pg|adp|atp|h
PGL	6pgc|6pgl|h|h2o
PGLS	ahcys|amet|frrppdima|h|mfrrppdima
PGLYCP	2pglyc|glyclt|h|h2o|pi
PGM	2pg|3pg
PGMT	g1p|g6p
PGPP160	h|h2o|pg160|pgp160|pi
PGPP160190	h|h2o|pg160190|pgp160190|pi
PGPP190	h|h2o|pg190|pgp190|pi
PGPPT3	udcpp|ugggmda|uggmda|ump
PGSA160	cdpdhdecg|cmp|glyc3p|pgp160
PGSA160190	cdpc16c19g|cmp|glyc3p|pgp160190
PGSA190	cdpc19c19g|cmp|glyc3p|pgp190
PHDCATA	ACP|coa|phdcaACP|phdcacoa
PHDCAt	phdca
PHETA1	akg|glu_L|phe_L|phpyr
PHEt2r	h|phe_L
PHTHCLR1	h|nad|nadh|phthcl|phthclh2
PHTHCLR2	h|nadp|nadph|phthcl|phthclh2
PHTHCLS	h2o|mndn|nadp|nadph|o2|phthcl
PHTHDLS	co2|h|phthdl|prephth
PHTHDLS2	co2|h|pphthdl|prepphth
PHTHS	ahcys|amet|nadp|nadph|phthdl|phthiocerol
PHTHS2	ahcys|amet|nadp|nadph|pphthdl|pphthiocerol
PHTO	h|o2|o2s|phthcl|phthclh2
PHYCBOXL	co2|h|peamn|phe_L
PIabc	adp|atp|h|h2o|pi
PIt	pi
PLCD	12dgr160|h2o|mi1p_D|ptd1ino160
PLIPA1E160	2agpe160|h|h2o|hdca|pe160
PLIPA1E180	2agpe180|h|h2o|ocdca|pe180
PMANM	man1p|man6p
PMDPHT	4r5au|5aprbu|h|h2o|pi
PMPK	2mahmp|4ampm|adp|atp
PNCDC	co2|h|ptcys|ptth
PNTK	4ppan|adp|atp|pnto_R
PPA	h|h2o|pi|ppi
PPAtr	ppa
PPBNGS	5aop|h|h2o|ppbng
PPCDC	4ppcys|co2|h|pan4p
PPCKr	adp|atp|co2|h|oaa|pep
PPCOAC	adp|atp|h|hco3|mmcoa_S|pi|ppcoa
PPCSCT	ppa|ppcoa|succ|succoa
PPDIMAS	h|h2o|ppdima|pphthiocerol|tamocta
PPDIMAT	ppdima
PPDK	amp|atp|h|pep|pi|ppi|pyr
PPGKr	g6p|glc_D|h|ppi|pppi
PPK2	adp|atp|h|ppi|pppi
PPMMS1	a1mycolate|a1mycolateppm|h|h2o|ppm
PPMMS10	h|h2o|k3mycolate|k3mycolateppm|ppm
PPMMS2	a3mycolate|a3mycolateppm|h|h2o|ppm
PPMMS3	cm1mycolate|cm1mycolateppm|h|h2o|ppm
PPMMS4	h|h2o|ppm|tm1mycolate|tm1mycolateppm
PPMMS5	h|h2o|m2mycolate|m2mycolateppm|ppm
PPMMS6	h|h2o|m3mycolate|m3mycolateppm|ppm
PPMMS7	ck1mycolate|ck1mycolateppm|h|h2o|ppm
PPMMS8	h|h2o|ppm|tk1mycolate|tk1mycolateppm
PPMMS9	h|h2o|k2mycolate|k2mycolateppm|ppm
PPMS	dmpp|gdp|gdpmann|ppm
PPNCL	4ppan|4ppcys|cdp|ctp|cys_L|h|pi
PPNCL2	4ppan|4ppcys|cmp|ctp|cys_L|ppi
PPNCL3	4ppan|4ppcys|amp|atp|cys_L|ppi
PPND	34hpp|co2|nad|nadh|pphn
PPNDH	co2|h|h2o|phpyr|pphn
PPPGO	h2o|o2|ppp9|pppg9
PPTGS	peptido_EC|uaagmda|udcpdp
PPTGS_TB1	h|peptido_TB1|uaaAgla|udcpdp
PPTGS_TB2	h|peptido_TB2|uaaGgla|udcpdp
PRAGSr	adp|atp|gar|gly|h|pi|pram
PRAIS	adp|air|atp|fpram|h|pi
PRAIi	2cpr5p|pran
PRAMPC	h2o|prbamp|prfp
PRASCS	25aics|5aizc|adp|asp_L|atp|h|pi
PRATPP	h2o|ppi|prbamp|prbatp
PRDX	fald|h2o|h2o2|meoh
PRE3A	o2|pre3a|pre3b
PRE5	ac|ahcys|amet|h|h2o|pre5|pre6a
PREPHACPH	ACP|h|h2o|prephth|prephthACP
PREPPACPH	ACP|h|h2o|prepphth|prepphthACP
PREPTHS	arachACP|co2|coa|h|h2o|malcoa|mmcoa_S|nadp|nadph|prephthACP
PREPTHS2	co2|coa|h|h2o|malcoa|mmcoa_S|nadp|nadph|phdcaACP|prepphthACP
PREPTTA	ACP|coa|prephthACP|prephthcoa
PRFGS	adp|atp|fgam|fpram|gln_L|glu_L|h|h2o|pi
PRMICIi	prfp|prlp
PROD2	1pyr5c|fad|fadh2|pro_L
PROPP	adp|atp|h|ppa|ppap
PROabc	adp|atp|h|h2o|pi|pro_L
PROt2r	h|pro_L
PRPPS	amp|atp|prpp|r5p
PSCVT	3psme|h|pep|pi|skm5p
PSD160	co2|h|pe160|ps160
PSD180	co2|h|pe180|ps180
PSERT	3php|akg|glu_L|pser_L
PSP_L	h|h2o|pi|pser_L|ser_L
PSSA160	cdpdhdecg|cmp|h|ps160|ser_L
PSSA180	cdpdodecg|cmp|h|ps180|ser_L
PTAr	accoa|actp|coa|h|pi
PTAr_ppa	coa|h|pi|ppap|ppcoa
PTPATi	atp|dpcoa|pan4p|ppi
PUNP1	ade|adn|h|pi|r1p
PUNP2	2dr1p|ade|dad_2|h|pi
PUNP3	gsn|gua|h|pi|r1p
PUNP4	2dr1p|dgsn|gua|h|pi
PUNP5	h|hxan|ins|pi|r1p
PUNP6	2dr1p|din|h|hxan|pi
PUNP7	h|pi|r1p|xan|xtsn
PYAM5PO	h2o|h2o2|nh4|o2|pyam5p|pydx5p
PYDXNO	h2o2|o2|pydx|pydxn
PYDXO	h2o|h2o2|nh4|o2|pydam|pydx
PYK	adp|atp|pep|pyr
PYRDC	acald|co2|h|pyr
PYRt2r	h|pyr
QRr	h|nadp|nadph|q|qh2
QULNS	dhap|h|h2o|iasp|pi|quln
RBFK	adp|atp|fmn|ribflv
RBFSa	4r5au|db4p|dmlz|h|h2o|pi
RBFSb	4r5au|dmlz|ribflv
RBK	adp|atp|r5p|rib_D
RBK_Dr	adp|atp|rbl_D|ru5p_D
RBK_L1r	adp|atp|rbl_L|ru5p_L
RIBRB12	adp|dadp|h2o|trdox|trdrd
RIBabc	adp|atp|h|h2o|pi|rib_D
RNDR1	adp|dadp|h2o|trdox|trdrd
RNDR2	dgdp|gdp|h2o|trdox|trdrd
RNDR3	cdp|dcdp|h2o|trdox|trdrd
RNDR4	dudp|h2o|trdox|trdrd|udp
RNDR5B12	dudp|h2o|trdox|trdrd|udp
RNTR4b	dutp|h2o|trdox|trdrd|utp
RPE	ru5p_D|xu5p_D
RPI	r5p|ru5p_D
RPPDIMAS	dtdp|dtdprmn|ppdima|rppdima
RRPPDIMAS	dtdp|dtdprmn|rppdima|rrppdima
RZ5PP	5prdmbz|h|h2o|pi|rdmbzi
SADH	co2|h|h2o|nh4|sucarg|sucorn
SADT	aps|atp|h|ppi|so4
SADT2	aps|atp|gdp|gtp|h2o|pi|ppi|so4
SALCS	chor|pyr|salc
SDPDS	26dap_LL|h2o|sl26da|succ
SDPTA	akg|glu_L|sl26da|sl2a6o
SELCYSLY	ala_L|dtt|dttOX|selcys|seln
SERAT	accoa|acser|coa|ser_L
SERD_D	nh4|pyr|ser_D
SERD_L	nh4|pyr|ser_L
SERt2r	h|ser_L
SGDS	glu_L|h2o|succ|sucglu
SGSAD	h|h2o|nad|nadh|sucglu|sucgsa
SHCHCS	2shchc|ichor|pyr|sucsal
SHCHCS2	2shchc|ichor|pyr|ssaltpp|thmpp
SHCHD2	dscl|h|nad|nadh|scl
SHCHF	fe2|h|scl|sheme
SHCHF2	fe2|h|scl2|sheme
SHCHF3	fmcbtt|h|mcbtt|scl|sheme
SHK3Dr	3dhsk|h|nadp|nadph|skm
SHKK	adp|atp|skm|skm5p
SHSL1r	cys_L|cyst_L|h|succ|suchms
SHSL4r	2obut|h|h2o|nh4|succ|suchms
SKMt2	h|skm
SOTA	akg|glu_L|sucgsa|sucorn
SPMS	5mta|ametam|h|ptrc|spmd
SPODM	h2o2|o2|o2s
SSALx	h|h2o|nad|nadh|succ|sucsal
SSALy	h|h2o|nadp|nadph|succ|sucsal
SUCBZL	amp|atp|coa|h|ppi|sbzcoa|sucbz
SUCBZS	2shchc|h2o|sucbz
SUCCt2r	h|succ
SUCOAS	adp|atp|coa|pi|succ|succoa
SULR	h|h2o|h2s|nadp|nadph|so3
SULabc	adp|atp|h|h2o|pi|so4
TALA	e4p|f6p|g3p|s7p
TARTD	h2o|oaa|tartr_L
TARTRt7	succ|tartr_L
TAS	arab_D|decd_tb|decda_tb|tarab_D
TATS	h|h2o|hdca|hpmtria|omtta|tat|tre
TATSO	h|h2o|hdca|hpmtria|omtta|sl1|tres
TDMS1	a1tmm|cm1tmm|tdm1|tre
TDMS2	a1tmm|tdm2|tm1tmm|tre
TDMS3	a1tmm|ck1tmm|tdm3|tre
TDMS4	a1tmm|tdm4|tk1tmm|tre
TDPDRE	dtdp4d6dg|dtdp4d6dm
TDPDRR	dtdp4d6dm|dtdprmn|h|nadp|nadph
TDPGDH	dtdp4d6dg|dtdpglu|h2o
THDPS	coa|h2o|sl2a6o|succoa|thdp
THFGLUS	adp|atp|glu_L|h|pi|thf|thfglu
THMDP	h|h2o|pi|thm|thmpp
THRD_Lr	2obut|nh4|thr_L
THRS	h|h2o|phom|pi|thr_L
THRt2r	h|thr_L
THZPSN	4hba|4mpetz|ala_L|amp|atp|co2|cys_L|dxyl5p|h2o|ppi|tyr_L
THZSN	4hba|4mhetz|co2|cys_L|dxyl|h|h2o|nh4|pyr|tyr_L
TKT1	g3p|r5p|s7p|xu5p_D
TKT2	e4p|f6p|g3p|xu5p_D
TMDK1	adp|atp|dtmp|thymd
TMDPP	2dr1p|h|pi|thym|thymd
TMDS	dhf|dtmp|dump|mlthf
TMHAS1	h2o|tdm1|tdm2|tmha1|tre
TMHAS2	h2o|tdm1|tdm3|tmha2|tre
TMHAS3	h2o|tdm1|tdm4|tmha3|tre
TMHAS4	h2o|tdm2|tdm3|tmha4|tre
TMHAS5	h2o|tdm2|tdm4|tmha5|tre
TMHAS6	h2o|tdm3|tdm4|tmha6|tre
TMHASFLUX1	rthma|tmha1
TMHASFLUX2	rthma|tmha2
TMHASFLUX3	rthma|tmha3
TMHASFLUX4	rthma|tmha4
TMHASFLUX5	rthma|tmha5
TMHASFLUX6	rthma|tmha6
TMMP1	a1tmm|a1tmmp|h|h2o|pi
TMMP2	cm1tmm|cm1tmmp|h|h2o|pi
TMMP3	h|h2o|pi|tm1tmm|tm1tmmp
TMMP4	ck1tmm|ck1tmmp|h|h2o|pi
TMMP5	h|h2o|pi|tk1tmm|tk1tmmp
TMMS1	a1mycolateppm|a1tmmp|ppm|tre6p
TMMS2	cm1mycolateppm|cm1tmmp|ppm|tre6p
TMMS3	ppm|tm1mycolateppm|tm1tmmp|tre6p
TMMS4	ck1mycolateppm|ck1tmmp|ppm|tre6p
TMMS5	ppm|tk1mycolateppm|tk1tmmp|tre6p
TMN	4ahmmp|4mhetz|h|h2o|thm
TMPKr	adp|atp|thmmp|thmpp
TMPPP	2mahmp|4mpetz|h|ppi|thmmp
TPI	dhap|g3p
TRDR	h|nadp|nadph|trdox|trdrd
TRE6PP	h|h2o|pi|tre|tre6p
TRE6PS	g6p|tre6p|udp|udpg
TRESULT	pap|paps|tre|tres
TREabc	adp|atp|h|h2o|pi|tre
TRIATS	h|h2o|ocdca|tmlgnc|tre|triat
TRPS1	3ig3p|g3p|h2o|ser_L|trp_L
TRPS2	h2o|indole|ser_L|trp_L
TRPS3	3ig3p|g3p|indole
TRPTA	akg|glu_L|indpyr|trp_L
TRPt2r	h|trp_L
TSULabc	adp|atp|h|h2o|pi|tsul
TTDCAt2	h|ttdca
TYRTA	34hpp|akg|glu_L|tyr_L
TYRt2r	h|tyr_L
UAAGDS	26dap_M|adp|atp|h|pi|uamag|ugmd
UAAGLS1	adp|atp|h|lys_L|pi|uAgl|uamag
UAAGLS2	adp|atp|h|lys_L|pi|uGgl|uamag
UAGCVT	h|pep|pi|uaccg|uacgam
UAGDP	acgam1p|ppi|uacgam|utp
UAGPT1	uaAgla|uaaAgla|uacgam|udp
UAGPT2	uaGgla|uaaGgla|uacgam|udp
UAGPT3	uaagmda|uacgam|uagmda|udp
UAMAGS	adp|atp|glu_D|h|pi|uama|uamag
UAMAS	adp|ala_L|atp|h|pi|uama|uamr
UAMRH	h|h2o|nadp|nadph|o2|uamr|ugmr
UAPGR	h|nadp|nadph|uaccg|uamr
UDCPDP	h|h2o|pi|udcpdp|udcpp
UDCPDPS	frdp|ipdp|ppi|udcpdp
UDPDPS	decdp|ipdp|ppi|udcpdp
UDPDPS2	decdp_tb|ipdp|ppi|udcpdp
UDPG4E	udpg|udpgal
UDPGALM	udpgal|udpgalfur
UDPGD	h|h2o|nad|nadh|udpg|udpglcur
UGAGDS	26dap_M|adp|atp|h|pi|uggmd|ugmag
UGGPT3	uacgam|udp|ugagmda|ugggmda
UGLDDS1	adp|alaala|atp|h|pi|uAgl|uAgla
UGLDDS2	adp|alaala|atp|h|pi|uGgl|uGgla
UGMAGS	adp|atp|glu_D|h|pi|ugma|ugmag
UGMAS	adp|ala_L|atp|h|pi|ugma|ugmr
UGMDDS	adp|alaala|atp|h|pi|ugmd|ugmda
UGMDDS2	adp|alaala|atp|h|pi|uggmd|uggmda
UMPKURIDK1	adp|atp|udp|ump
UPP3MT	ahcys|amet|dscl|h|uppg3
UPP3S	h2o|hmbil|uppg3
UPPDC1	co2|cpppg3|h|uppg3
UPPDC2	co2|cpppg1|h|uppg1
UPPRT	ppi|prpp|ump|ura
UREA	co2|h|h2o|nh4|urea
URIDK2r	adp|atp|dudp|dump
URIK2	gdp|gtp|ump|uri
VALTA	3mob|akg|glu_L|val_L
VALt2r	h|val_L
XPPT	ppi|prpp|xan|xmp
XYLK	adp|atp|xu5p_D|xylu_D
XYLabc	adp|atp|h|h2o|pi|xyl_D
YUMPS	h2o|psd5p|r5p|ura
biomass_3	Ac1PIM1|Ac1PIM2|Ac1PIM3|Ac1PIM4|Ac2PIM2|PIM1|PIM2|PIM3|PIM4|PIM5|PIM6|a1mycolate|a3mycolate|acgam1p|adp|ala_L|amp|arabinanagalfragund|arach|arg_L|asn_L|asp_L|atp|ck1mycolate|clpn160190|cm1mycolate|cmp|cys_L|damp|dcmp|decda_tb|decdpr_tb|dgmp|dhf|dtmp|fcmcbtt|fmn|gal|gam6p|glc_D|gln_L|glu_L|gly|gmp|h|h2o|hdca|hdcea|hexc|his_L|hmbil|ile_L|k2mycolate|k3mycolate|leu_L|lys_L|m2mycolate|m3mycolate|man|mbhn|mcbts|met_L|mfrrppdima|mocdca|mql8|nad|nadp|ocdca|ocdcea|pa160|pa160190|pa190190|pan4p|pat|pdima|pe160|peptido_TB1|peptido_TB2|pg160|pg160190|pg190|phdca|phe_L|pheme|pi|ppdima|pro_L|quln|rib_D|ribflv|ser_L|sl1|tat|thf|thm|thr_L|tk1mycolate|tm1mycolate|tmha1|tmha2|tmha3|tmha4|tmha5|tmha6|tre|tre6p|tres|trp_L|ttdca|tyr_L|uaaAgla|uaaGgla|uaagmda|uamr|udcpdp|ugagmda|ump|val_L
