3M2OBLOXRD	2mpdhl|3mob|co2|h|lpam
3M2OPLOXRD	2mbdhl|3mop|co2|h|lpam
4M2OPLOXRD	3mbdhl|4mop|co2|h|lpam
6PGALSZ	Lac6p|dgal6p|glc-D|h2o
6PHBG	2hymeph|g6p|h2o|salc6p
ABTAr	4abut|akg|glu-L|sucsal
ACACT1r	aacoa|accoa|coa
ACACT2r	3ohcoa|accoa|btcoa|coa
ACACT3r	3oocoa|accoa|coa|hxcoa
ACACT4r	3odcoa|accoa|coa|occoa
ACACT5r	3oddcoa|accoa|coa|dcacoa
ACACT6r	3otdcoa|accoa|coa|ddcacoa
ACACT7r	3ohdcoa|accoa|coa|tdcoa
ACALDi	acald|accoa|coa|h|nad|nadh
ACCOAC	accoa|adp|atp|h|hco3|malcoa|pi
ACGApts	acgam|acgam6p|pep|pyr
ACGK	acg5p|acglu|adp|atp
ACGS	accoa|acglu|coa|glu-L|h
ACHBS	2ahbut|2obut|co2|h|pyr
ACKr	ac|actp|adp|atp
ACLDC	actn-R|alac-S|co2|h
ACLS	alac-S|co2|h|pyr
ACNAMt2	acnam|h
ACNML	acmana|acnam|pyr
ACOAD1	b2coa|btcoa|h|nad|nadh
ACOAD2	h|hx2coa|hxcoa|nad|nadh
ACOAD3	h|nad|nadh|oc2coa|occoa
ACOAD4	dc2coa|dcacoa|h|nad|nadh
ACOAD5	dd2coa|ddcacoa|h|nad|nadh
ACOAD6	h|nad|nadh|td2coa|tdcoa
ACOAD7	h|hdd2coa|nad|nadh|pmtcoa
ACOATA	ACP|acACP|accoa|coa
ACONT	cit|icit
ACOTA	acg5sa|acorn|akg|glu-L
ACPS1	ACP|apoACP|coa|h|pap
ACPpds	ACP|apoACP|h|h2o|pan4p
ACS	ac|accoa|amp|atp|coa|ppi
ACYP_2	ac|actp|h|h2o|pi
ADCL	4abz|4adcho|h|pyr
ADCS	4adcho|chor|gln-L|glu-L
ADCYRS	adcobdam|adcobhex|adp|atp|gln-L|glu-L|h|h2o|pi
ADK1	adp|amp|atp
ADKd	dadp|damp|datp
ADMDCr	amet|ametam|co2|h
ADNt2	adn|h
ADPRDP	adprib|amp|h|h2o|r5p
ADPT	ade|amp|ppi|prpp
ADSK	adp|aps|atp|h|paps
ADSL1	amp|dcamp|fum
ADSL2r	25aics|aicar|fum
ADSS	asp-L|dcamp|gdp|gtp|h|imp|pi
AGDC_r	ac|acgam6p|gam6p|h2o
AGMHE	adphep-D,D|adphep-L,D
AGMT	agm|h2o|ptrc|urea
AGPR	acg5p|acg5sa|h|nadp|nadph|pi
AHCYSNS	ade|ahcys|h2o|rhcys
AICART	10fthf|aicar|fprica|thf
AIRC2	5caiz|adp|air|atp|h|hco3|pi
AIRC3	5aizc|5caiz
AKGDa	akg|co2|h|lpam|sdhlam
AKGDb	coa|dhlam|sdhlam|succoa
AKGMAL	akg|mal-L
AKP1	ahdt|dhnpt|h|h2o|pi
ALAALAr	adp|ala-D|alaala|atp|h|pi
ALAD_L	ala-L|h|h2o|nad|nadh|nh4|pyr
ALAR	ala-D|ala-L
ALATA_D	akg|ala-D|glu-D|pyr
ALATRS	ala-L|alatrna|amp|atp|ppi|trnaala
ALAabc	adp|ala-L|atp|h|h2o|pi
ALAt2r	ala-L|h
ALCD1	fald|h|meoh|nad|nadh
ALCD2x	acald|etoh|h|nad|nadh
ALDD2x	ac|acald|h|h2o|nad|nadh
ALKP	dha|dhap|h2o|pi
AMAA	acmam|acmama|ala-L|h2o
AMANAPEr	acgam6p|acmanap
AMANK	acmana|acmanap|adp|atp|h
AMAOTr	8aonn|amet|amob|dann
ANPRT	anth|ppi|pran|prpp
ANS	anth|chor|gln-L|glu-L|h|pyr
AOXSr	8aonn|ala-L|co2|coa|h|pmcoa
APRAUR	5aprbu|5apru|h|nadp|nadph
ARGDC	agm|arg-L|co2|h
ARGDr	arg-L|citr-L|h2o|nh4
ARGN	arg-L|h2o|orn|urea
ARGORNt7	arg-L|orn
ARGSL	arg-L|argsuc|fum
ARGSSr	amp|argsuc|asp-L|atp|citr-L|h|ppi
ARGTRS	amp|arg-L|argtrna|atp|ppi|trnaarg
ASAD	4pasp|aspsa|h|nadp|nadph|pi
ASNN	asn-L|asp-L|h2o|nh4
ASNS1	amp|asn-L|asp-L|atp|gln-L|glu-L|h|h2o|ppi
ASNTRS	amp|asn-L|asntrna|atp|ppi|trnaasn
ASP1DC	ala-B|asp-L|co2|h
ASPCT	asp-L|cbasp|cbp|h|pi
ASPKi	4pasp|adp|asp-L|atp
ASPTA	akg|asp-L|glu-L|oaa
ASPTRS	amp|asp-L|asptrna|atp|ppi|trnaasp
ASPabc	adp|asp-L|atp|h|h2o|pi
ATPM	adp|atp|h|h2o|pi
ATPPRT	atp|ppi|prbatp|prpp
ATPS4r	adp|atp|h|h2o|pi
BACCL	atp|btamp|btn|h|ppi
BETALDHx	betald|glyb|h|h2o|nad|nadh
BETALDHy	betald|glyb|h|h2o|nadp|nadph
BPNT	amp|h2o|pap|pi
BTNt2i	btn|h
BTS3r	btn|dtbt|h2s|s
Biomass	10fthf|12dgr_SA|26dap-LL|Biomass|SA_FREE_FA|acgam|acgam1p|ala-L|amp|arg-L|asn-L|asp-L|atp|clpn_SA|cmp|cys-L|damp|dcmp|dgdcg_SA2|dgmp|dtmp|fad|gam1p|glcp_SA|gln-L|glu-L|gly|gmp|h2o|hemeO|his-L|ile-L|leu-L|lys-L|met-L|mlthf|nad|nadp|pala_SA2|pe_SA|pg_SA|pgly_SA2|phe-L|pleu_SA2|plys_SA2|pro-L|ptrc|ser-L|sheme|spmd|tcam|thf|thm|thr-L|trp-L|tyr-L|uamr|ump|val-L
CAT	h2o|h2o2|o2
CBMK	adp|atp|cbp|co2|h|nh4
CBPS	adp|atp|cbp|gln-L|glu-L|h|h2o|hco3|pi
CDAPPA_SA	cdpdag_SA|cmp|h|h2o|pa_SA
CDPMEK	2p4c2me|4c2me|adp|atp|h
CHCOAL	amp|atp|coa|pime|pmcoa|ppi
CHLabc	adp|atp|chol|h|h2o|pi
CHLt2r	chol|h
CHOLD	betald|chol|h|nad|nadh
CHORM	chor|pphn
CHORS	3psme|chor|pi
CIT-Mgt	Cit-Mg|h
CLPNS_SA	clpn_SA|glyc|pg_SA
CO2t	co2
CPPPGO	co2|cpppg3|h|h2o|o2|pppg9
CRNabc	adp|atp|crn|h|h2o|pi
CS	accoa|cit|coa|h|h2o|oaa
CSNt2	csn|h
CTPS1	adp|atp|ctp|h|nh4|pi|utp
CYSS	ac|acser|cys-L|h|h2s
CYSTL	cyst-L|h2o|hcys-L|nh4|pyr
CYSTRS	amp|atp|cys-L|cystrna|ppi|trnacys
CYSabc	adp|atp|cys-L|h|h2o|pi
CYTBD	h|h2o|o2|q8|q8h2
CYTD	cytd|h|h2o|nh4|uri
CYTDK2	cmp|cytd|gdp|gtp|h
CYTDt4	cytd|na1
CYTK1	adp|atp|cdp|cmp
CYTK2	adp|atp|dcdp|dcmp
Coabc	adp|atp|cobalt2|h|h2o|pi
Cut1	adp|atp|cu2|h|h2o|pi
D-LACt2	h|lac-D
DAGK_SA	12dgr_SA|adp|atp|h|pa_SA
DALAt2r	ala-D|h
DAPDC	26dap-M|co2|h|lys-L
DAPE	26dap-LL|26dap-M
DASYN_SA	cdpdag_SA|ctp|h|pa_SA|ppi
DB4PS	db4p|for|h|ru5p-D
DBTSr	adp|atp|co2|dann|dtbt|h|pi
DCMPDA	dcmp|dump|h|h2o|nh4
DDPA	2dda7p|e4p|h2o|pep|pi
DGK1	adp|atp|dgdp|dgmp
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHAK	adp|atp|dha|dhap|h
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNAOT	2dmmq8|co2|dhna|h|octdp|ppi
DHNPA2	6hmhpt|dhnpt|gcald
DHORD5	dhor-S|mql8|mqn8|orot
DHORTS	cbasp|dhor-S|h|h2o
DHPPDA	25dhpp|5apru|h|h2o|nh4
DHPS2	4abz|6hmhptpp|dhpt|ppi
DHQD	3dhq|3dhsk|h2o
DHQS	2dda7p|3dhq|pi
DKMPPD	2kmb|dkmpp|for|h|h2o|o2|pi
DKMPPD2	2kmb|dkmpp|for|h|h2o|pi
DMATT	dmpp|grdp|ipdp|ppi
DNMPPA	dhnpt|dhpmp|h2o|pi
DNTPPA	ahdt|dhpmp|h|h2o|ppi
DPCOAK	adp|atp|coa|dpcoa|h
DPMVD	5dpmev|adp|atp|co2|ipdp|pi
DPR	2dhp|h|nadp|nadph|pant-R
DRBK	2dr5p|adp|atp|drib|h
DRPA	2dr5p|acald|g3p
DTMPK	adp|atp|dtdp|dtmp
DURIK1	adp|atp|dump|duri|h
DURIPP	2dr1p|duri|pi|ura
ECOAH1	3hbcoa|b2coa|h2o
ECOAH2	3hhcoa|h2o|hx2coa
ECOAH3	3hocoa|h2o|oc2coa
ECOAH4	3hdcoa|dc2coa|h2o
ECOAH5	3hddcoa|dd2coa|h2o
ECOAH6	3htdcoa|h2o|td2coa
ECOAH7	3hhdcoa|h2o|hdd2coa
ENO	2pg|h2o|pep
ETOHt	etoh
FACOAL160	amp|atp|coa|hdca|pmtcoa|ppi
FBA	dhap|fdp|g3p
FBP	f6p|fdp|h2o|pi
FCLT	fe2|h|pheme|ppp9
FDHr	co2|for|nad|nadh
FE2abc	adp|atp|fe2|h|h2o|pi
FFSDr	fru|g6p|h2o|suc6p
FGLU	forglu|frmd|glu-L|h|h2o
FLDO	fmn|fmnh2|h|nadp|nadph
FLVR	h|nadp|nadph|rbflvrd|ribflv
FLVR(NAD)	h|nad|nadh|rbflvrd|ribflv
FMNAT	atp|fad|fmn|h|ppi
FMNRx	fmn|fmnh2|h|nad|nadh
FORt2	for|h
FORt3	for|h
FRUK	adp|atp|f1p|fdp|h
FRUpts	f1p|fru|pep|pyr
FTHFL	10fthf|adp|atp|for|pi|thf
FUM	fum|h2o|mal-L
G1PACT	accoa|acgam1p|coa|gam1p|h
G1SATi	5aop|glu1sa
G3PCT	cdpglyc|ctp|glyc3p|h|ppi
G3PD2	dhap|glyc3p|h|nadp|nadph
G3PD5	dhap|glyc3p|q8|q8h2
G3PD6	dhap|glyc3p|mql8|mqn8
G3PD7	2dmmq8|2dmmql8|dhap|glyc3p
G6PDA	f6p|gam6p|h2o|nh4
G6PDH2r	6pgl|g6p|h|nadp|nadph
GAL6PI	dgal6p|tag6p-D
GALTpts	galt|galt1p|pep|pyr
GALUi	g1p|h|ppi|udpg|utp
GAPD	13dpg|g3p|h|nad|nadh|pi
GARFT	10fthf|fgam|gar|h|thf
GCALDD	gcald|glyclt|h|h2o|nad|nadh
GCCa	alpro|co2|gly|h|lpro
GCCb	alpro|dhlpro|mlthf|nh4|thf
GCCc	dhlpro|h|lpro|nad|nadh
GF6PTA	f6p|gam6p|gln-L|glu-L
GHMT2	gly|h2o|mlthf|ser-L|thf
GK1	adp|atp|gdp|gmp
GLCNt2r	glcn|h
GLCPcom_SA	glcp_SA|gtca1|gtca2|gtca3
GLCS1	adp|adpglc|glycogen|glycogenb|h
GLCpts	g6p|glc-D|pep|pyr
GLGC	adpglc|atp|g1p|h|ppi
GLNS	adp|atp|gln-L|glu-L|h|nh4|pi
GLUDx	akg|glu-L|h|h2o|nad|nadh|nh4
GLUPRT	gln-L|glu-L|h2o|ppi|pram|prpp
GLUR	glu-D|glu-L
GLUSx	akg|gln-L|glu-L|h|nad|nadh
GLUTRR	glu1sa|glutrna|h|nadp|nadph|trnaglu
GLUTRS	amp|atp|glu-L|glutrna|ppi|trnaglu
GLUabc	adp|atp|glu-L|h|h2o|pi
GLUt2	glu-L|h
GLUt2r	glu-L|h
GLYALDt	glyald
GLYAT	2aobut|accoa|coa|gly
GLYBabc	adp|atp|glyb|h|h2o|pi
GLYBt2r	glyb|h
GLYC3Pabc	adp|atp|glyc3p|h|h2o|pi
GLYC3Pt6	glyc3p|pi
GLYCK	3pg|adp|atp|glyc-R|h
GLYCt	glyc
GLYD	glyc-R|h|hpyr|nad|nadh
GLYKr	adp|atp|glyc|glyc3p|h
GLYTRS	amp|atp|gly|glytrna|ppi|trnagly
GLYabc	adp|atp|gly|h|h2o|pi
GMHEPAT	adphep-D,D|atp|gmhep1p|h|ppi
GMHEPK	adp|atp|gmhep17bp|gmhep7p|h
GMHEPPA	gmhep17bp|gmhep1p|h2o|pi
GMPR	gmp|h|imp|nadp|nadph|nh4
GMPS2	amp|atp|gln-L|glu-L|gmp|h|h2o|ppi|xmp
GND	6pgc|co2|nadp|nadph|ru5p-D
GNK	6pgc|adp|atp|glcn|h
GPDDA1	chol|g3pc|glyc3p|h|h2o
GPDDA2	etha|g3pe|glyc3p|h|h2o
GPDDA3	g3ps|glyc3p|h|h2o|ser-L
GPDDA4	g3pg|glyc|glyc3p|h|h2o
GPDDA5	g3pi|glyc3p|h|h2o|inost
GRTT	frdp|grdp|ipdp|ppi
GTHP	gthox|gthrd|h2o|h2o2
GTPCI	ahdt|for|gtp|h|h2o
GTPCII	25dhpp|for|gtp|h|h2o|ppi
GTPDPK	amp|atp|gdptp|gtp|h
GUAPRT	gmp|gua|ppi|prpp
GUAt2	gua|h
H2Ot	h2o
HACD1	3hbcoa|aacoa|h|nad|nadh
HACD2	3hhcoa|3ohcoa|h|nad|nadh
HACD3	3hocoa|3oocoa|h|nad|nadh
HACD4	3hdcoa|3odcoa|h|nad|nadh
HACD5	3hddcoa|3oddcoa|h|nad|nadh
HACD6	3htdcoa|3otdcoa|h|nad|nadh
HACD7	3hhdcoa|3ohdcoa|h|nad|nadh
HCO3E	co2|h|h2o|hco3
HCYSMT	ahcys|amet|h|hcys-L|met-L
HDCAt2	h|hdca
HEMEAS	h|h2o|hemeA_#1|hemeO
HEMEOS	frdp|h2o|hemeO|pheme|ppi
HEMEti	adp|atp|h|h2o|pheme|pi
HETZK	4mhetz|4mpetz|adp|atp|h
HEX1	adp|atp|g6p|glc-D|h
HEX7	adp|atp|f6p|fru|h
HEXTT	hepdp|hexdp|ipdp|ppi
HISDr	his-L|nh4|urcan
HISTD	h|h2o|his-L|histd|nad|nadh
HISTP	h2o|hisp|histd|pi
HISabc	adp|atp|h|h2o|his-L|pi
HMBS	h2o|hmbil|nh4|ppbng
HMGCOARi	coa|h|hmgcoa|mev-R|nadp|nadph
HMGCOASi	aacoa|accoa|coa|h|h2o|hmgcoa
HPPK2	6hmhpt|6hmhptpp|amp|atp|h
HSDy	aspsa|h|hom-L|nadp|nadph
HSERTA	accoa|achms|coa|hom-L
HSK	adp|atp|h|hom-L|phom
HSTPT	akg|glu-L|hisp|imacp
HXPRT	hxan|imp|ppi|prpp
ICDHyr	akg|co2|icit|nadp|nadph
ICHORS	chor|ichor
IG3PS	aicar|eig3p|gln-L|glu-L|h|prlp
IGPDH	eig3p|h2o|imacp
IGPS	2cpr5p|3ig3p|co2|h|h2o
ILETA	3mop|akg|glu-L|ile-L
ILETRS	amp|atp|ile-L|iletrna|ppi|trnaile
ILEabc	adp|atp|h|h2o|ile-L|pi
ILEt2r	h|ile-L
IMPC	fprica|h2o|imp
IMPD	h|h2o|imp|nad|nadh|xmp
INDPYRD	co2|h|id3acald|indpyr
IPDDI	dmpp|ipdp
IPMD	3c2hmp|3c4mop|h|nad|nadh
