Bc1	C00267_biomass_c|C00267_c
Bc10	C00065_biomass_c|C01650_c|C02553_c
Bc11	C00188_biomass_c|C01651_c|C02992_c
Bc12	C00073_biomass_c|C01647_c|C02430_c
Bc13	C00097_biomass_c|C01639_c|C03125_c
Bc14	C00183_biomass_c|C01653_c|C02554_c
Bc15	C00123_biomass_c|C01645_c|C02047_c
Bc16	C00407_biomass_c|C01644_c|C03127_c
Bc17	C00064_biomass_c|C01640_c|C02282_c
Bc18	C00062_biomass_c|C01636_c|C02163_c
Bc19	C00148_biomass_c|C01649_c|C02702_c
Bc2	C00089_biomass_c|C00089_c
Bc20	C00047_biomass_c|C01646_c|C01931_c
Bc21	C00135_biomass_c|C01643_c|C02988_c
Bc22	C00079_biomass_c|C01648_c|C03511_c
Bc23	C00082_biomass_c|C00787_c|C02839_c
Bc24	C00078_biomass_c|C01652_c|C03512_c
Bc25	C00152_biomass_c|C01637_c|C03402_c
Bc26	C02646_biomass_c|C02646_c
Bc27	C00590_biomass_c|C00590_c
Bc28	C02325_biomass_c|C02325_c
Bc29	C02336_biomass_c|C02336_c
Bc3	C00760_biomass_c|C00760_c
Bc30	C00249_biomass_c|C00249_c
Bc31	C00013_c|C00131_biomass_c|C00131_c
Bc32	C00013_c|C00286_biomass_c|C00286_c
Bc33	C00013_c|C00458_biomass_c|C00458_c
Bc34	C00013_c|C00459_biomass_c|C00459_c
Bc35	C00002_biomass_c|C00002_c|C00013_c
Bc36	C00013_c|C00044_biomass_c|C00044_c
Bc37	C00013_c|C00063_biomass_c|C00063_c
Bc38	C00013_c|C00075_biomass_c|C00075_c
Bc4	C00369_biomass_c|C00369_p
Bc5	C00181_biomass_c|C00181_c
Bc6	C00025_biomass_c|C01640_c|C06112_c
Bc7	C00041_biomass_c|C00886_c|C01635_c
Bc8	C00049_biomass_c|C01637_c|C06113_c
Bc9	C00037_biomass_c|C01642_c|C02412_c
Ex1	C00011_c|C00011_e
Ex10	C00065_c|C00065_e
Ex11	C00283_c|C00283_e
Ex12	C00059_c|C00059_e
Ex13	C00267_c|C00267_e
Ex14	C02336_c|C02336_e
Ex15	C00208_c|C00208_e
Ex16	hv_e|hv_p
Ex17	C00089_c|C00089_e
Ex18	C00009_c|C00009_e
Ex2	C00001_c|C00001_e
Ex3	C00007_c|C00007_e
Ex4	C00244_c|C00244_e
Ex5	C00014_c|C00014_e
Ex6	C00025_c|C00025_e
Ex7	C00064_c|C00064_e
Ex8	C00049_c|C00049_e
Ex9	C00041_c|C00041_e
R00004_c	C00001_c|C00009_c|C00013_c
R00006_c	C00011_c|C00022_c|C00900_c
R00009_x	C00001_x|C00007_x|C00027_x
R00010_c	C00001_c|C00031_c|C01083_c
R00014_c	C00011_c|C00022_c|C00068_c|C05125_c
R00021_p	C00025_p|C00026_p|C00064_p|C00138_p|C00139_p
R00022_c	C00001_c|C00140_c|C01674_c
R00024_p	C00001_p|C00011_p|C00197_p|C01182_p
R00026_c	C00001_c|C00185_c|C00221_c
R00028_c	C00001_c|C00208_c|C00267_c
R00028_p	C00001_p|C00208_p|C00267_p
R00036_c	C00001_c|C00430_c|C00931_c
R00047_c	C00007_c|C00011_c|C01020_c|C01059_c
R00066_c	C00255_c|C04332_c|C04732_c
R00068_c	C00001_c|C00007_c|C00072_c|C05422_c
R00075_c	C00019_c|C00170_c|C05324_c
R00081_c	C00001_c|C00007_c|C00080_c|C00125_c|C00126_c
R00084_c	C00001_c|C00014_c|C00931_c|C01024_c
R00086_c	C00001_c|C00002_c|C00008_c|C00009_c
R00089_c	C00002_c|C00013_c|C00575_c
R00093_p	C00003_p|C00004_p|C00025_p|C00026_p|C00064_p|C00080_p
R00095_c	C00003_c|C00004_c|C00072_c|C00080_c|C01041_c
R00095_tmx	C00003_x|C00004_x|C00072_c|C00080_x|C01041_c
R00100_c	C00003_c|C00004_c|C00080_c|C00996_c|C00999_c
R00103_c	C00001_c|C00003_c|C00020_c|C00455_c
R00114_c	C00005_c|C00006_c|C00025_c|C00026_c|C00064_c|C00080_c
R00115_c	C00005_c|C00006_c|C00051_c|C00080_c|C00127_c
R00122_c	C00001_c|C00008_c|C00009_c|C00020_c
R00124_c	C00002_c|C00008_c
R00126_c	C00002_c|C00008_c|C00009_c|C01260_c
R00127_c	C00002_c|C00008_c|C00020_c
R00130_c	C00002_c|C00008_c|C00010_c|C00882_c
R00131_c	C00001_c|C00011_c|C00014_c|C00086_c
R00132N_c	C00001_c|C00011_c|C00080_c|C00288_c
R00132N_m	C00001_m|C00011_m|C00080_m|C00288_m
R00132N_p	C00001_p|C00011_p|C00080_p|C00288_p
R00149_c	C00001_c|C00002_c|C00008_c|C00009_c|C00011_c|C00014_c|C00169_c
R00149_p	C00001_p|C00002_p|C00008_p|C00009_p|C00011_p|C00014_p|C00169_p
R00155_c	C00001_c|C00009_c|C00015_c|C00105_c
R00156_c	C00002_c|C00008_c|C00015_c|C00075_c
R00157_c	C00008_c|C00015_c|C00020_c|C00075_c
R00158_c	C00002_c|C00008_c|C00015_c|C00105_c
R00159_c	C00001_c|C00009_c|C00015_c|C00075_c
R00164_c	C00001_c|C00009_c|C00017_c|C00562_c
R00174_c	C00002_c|C00008_c|C00018_c|C00250_c
R00177_c	C00001_c|C00002_c|C00009_c|C00013_c|C00019_c|C00073_c
R00178_c	C00011_c|C00019_c|C01137_c
R00179_c	C00019_c|C00170_c|C01234_c
R00181_c	C00001_c|C00014_c|C00020_c|C00130_c
R00183_c	C00001_c|C00009_c|C00020_c|C00212_c
R00184_c	C00001_c|C00002_c|C00020_c|C01260_c
R00185_c	C00002_c|C00008_c|C00020_c|C00212_c
R00187_c	C00001_c|C00008_c|C00020_c|C06197_c
R00190_c	C00013_c|C00020_c|C00119_c|C00147_c
R00191_c	C00001_c|C00020_c|C00575_c
R00192_c	C00001_c|C00021_c|C00155_c|C00212_c
R00200_c	C00002_c|C00008_c|C00022_c|C00074_c
R00200_p	C00002_p|C00008_p|C00022_p|C00074_p
R00206_p	C00002_p|C00009_p|C00013_p|C00020_p|C00022_p|C00074_p
R00209_m	C00003_m|C00004_m|C00010_m|C00011_m|C00022_m|C00024_m
R00209_p	C00003_p|C00004_p|C00010_p|C00011_p|C00022_p|C00024_p
R00214_c	C00003_c|C00004_c|C00011_c|C00022_c|C00149_c
R00216_c	C00005_c|C00006_c|C00011_c|C00022_c|C00149_c
R00216_p	C00005_p|C00006_p|C00011_p|C00022_p|C00149_p
R00219_c	C00011_c|C00022_c|C03981_c
R00220_c	C00014_c|C00022_c|C00065_c
R00224_c	C00008_c|C00011_c|C00022_c|C00084_c
R00233_c	C00011_c|C00024_c|C00083_c
R00236_c	C00010_c|C00020_c|C00024_c|C05993_c
R00236_m	C00010_m|C00020_m|C00024_m|C05993_m
R00238_c	C00010_c|C00024_c|C00332_c
R00238_m	C00010_m|C00024_m|C00332_m
R00238_p	C00010_p|C00024_p|C00332_p
R00238_x	C00010_x|C00024_x|C00332_x
R00239_c	C00002_c|C00008_c|C00025_c|C03287_c
R00243_c	C00001_c|C00003_c|C00004_c|C00014_c|C00025_c|C00026_c|C00080_c
R00243_m	C00001_m|C00003_m|C00004_m|C00014_m|C00025_m|C00026_m|C00080_m
R00245_c	C00001_c|C00003_c|C00004_c|C00025_c|C00080_c|C01165_c
R00251_c	C00001_c|C00002_c|C00008_c|C00009_c|C00025_c|C01879_c
R00253_c	C00002_c|C00008_c|C00009_c|C00014_c|C00025_c|C00064_c
R00253_m	C00002_m|C00008_m|C00009_m|C00014_m|C00025_m|C00064_m
R00253_p	C00002_p|C00008_p|C00009_p|C00014_p|C00025_p|C00064_p
R00257_c	C00001_c|C00002_c|C00003_c|C00013_c|C00020_c|C00025_c|C00064_c|C00857_c
R00258_c	C00022_c|C00025_c|C00026_c|C00041_c
R00258_p	C00022_p|C00025_p|C00026_p|C00041_p
R00259_c	C00010_c|C00024_c|C00025_c|C00624_c
R00261_c	C00011_c|C00025_c|C00334_c
R00267_c	C00005_c|C00006_c|C00011_c|C00026_c|C00080_c|C00311_c
R00267_m	C00005_m|C00006_m|C00011_m|C00026_m|C00080_m|C00311_m
R00274_c	C00001_c|C00027_c|C00051_c|C00127_c
R00281_c	C00003_c|C00004_c|C00028_c|C00030_c|C00080_c
R00286_c	C00001_c|C00003_c|C00004_c|C00029_c|C00080_c|C00167_c
R00289_c	C00013_c|C00029_c|C00075_c|C00103_c
R00291_c	C00029_c|C00052_c
R00293_c	C00001_c|C00029_c|C04089_c
R00308_c	C00001_c|C00031_c|C00965_c
R00310_c	C00032_c|C00080_c|C02191_c|C14818_c
R00316_m	C00002_m|C00013_m|C00033_m|C05993_m
R00328_c	C00001_c|C00009_c|C00035_c|C00144_c
R00330_c	C00002_c|C00008_c|C00035_c|C00044_c
R00332_c	C00002_c|C00008_c|C00035_c|C00144_c
R00335_c	C00001_c|C00009_c|C00035_c|C00044_c
R00341_c	C00002_c|C00008_c|C00011_c|C00036_c|C00074_c
R00342_c	C00003_c|C00004_c|C00036_c|C00080_c|C00149_c
R00342_m	C00003_m|C00004_m|C00036_m|C00080_m|C00149_m
R00342_p	C00003_p|C00004_p|C00036_p|C00080_p|C00149_p
R00342_x	C00003_x|C00004_x|C00036_x|C00080_x|C00149_x
R00343_m	C00005_m|C00006_m|C00036_m|C00080_m|C00149_m
R00343_p	C00005_p|C00006_p|C00036_p|C00080_p|C00149_p
R00344_c	C00002_c|C00008_c|C00009_c|C00022_c|C00036_c|C00288_c
R00345_c	C00001_c|C00009_c|C00011_c|C00036_c|C00074_c
R00351_m	C00001_m|C00010_m|C00024_m|C00036_m|C00158_m
R00351_x	C00001_x|C00010_x|C00024_x|C00036_x|C00158_x
R00352_c	C00002_c|C00008_c|C00009_c|C00010_c|C00024_c|C00036_c|C00158_c
R00355_c	C00025_c|C00026_c|C00036_c|C00049_c
R00355_m	C00025_m|C00026_m|C00036_m|C00049_m
R00355_p	C00025_p|C00026_p|C00036_p|C00049_p
R00369_c	C00022_c|C00037_c|C00041_c|C00048_c
R00372_x	C00025_x|C00026_x|C00037_x|C00048_x
R00376N_c	C00013_c|C00039_c|C00286_c
R00392_c	C00028_c|C00030_c|C00040_c|C00605_c
R00405_m	C00002_m|C00008_m|C00009_m|C00010_m|C00042_m|C00091_m
R00408_m	C00016_m|C00042_m|C00122_m|C01352_m
R00415_c	C00013_c|C00043_c|C00075_c|C04256_c
R00416_c	C00013_c|C00043_c|C00075_c|C04501_c
R00425_c	C00001_c|C00013_c|C00044_c|C00058_c|C01304_c
R00426_c	C00001_c|C00013_c|C00044_c|C00144_c
R00428_c	C00001_c|C00044_c|C05922_c
R00429_c	C00002_c|C00020_c|C00044_c|C04494_c
R00430_c	C00022_c|C00035_c|C00044_c|C00074_c
R00432_c	C00009_c|C00010_c|C00035_c|C00042_c|C00044_c|C00091_c
R00434_c	C00013_c|C00044_c|C00942_c
R00443_c	C00013_c|C00046_c|C00075_c
R00451_c	C00011_c|C00047_c|C00680_c
R00472_x	C00001_x|C00010_x|C00024_x|C00048_x|C00149_x
R00475_x	C00007_x|C00027_x|C00048_x|C00160_x
R00479_x	C00042_x|C00048_x|C00311_x
R00480_c	C00002_c|C00008_c|C00049_c|C03082_c
R00481_c	C00007_c|C00027_c|C00049_c|C05840_c
R00485_c	C00001_c|C00014_c|C00049_c|C00152_c
R00489_c	C00011_c|C00049_c|C00099_c
R00494_c	C00001_c|C00025_c|C00051_c|C01419_c
R00497_c	C00002_c|C00008_c|C00009_c|C00037_c|C00051_c|C00669_c
R00502_c	C00013_c|C00052_c|C00075_c|C00446_c
R00507_c	C00001_c|C00053_c|C00054_c|C00059_c
R00508_c	C00001_c|C00009_c|C00053_c|C00224_c
R00509_c	C00002_c|C00008_c|C00053_c|C00224_c
R00511_c	C00001_c|C00009_c|C00055_c|C00475_c
R00512_c	C00002_c|C00008_c|C00055_c|C00112_c
R00513_c	C00002_c|C00008_c|C00055_c|C00475_c
R00514_c	C00001_c|C00009_c|C00055_c|C00112_c
R00516_c	C00015_c|C00055_c|C00075_c|C00475_c
R00517_c	C00035_c|C00044_c|C00055_c|C00475_c
R00519_x	C00003_x|C00004_x|C00011_x|C00058_x|C00080_x
R00529_c	C00002_c|C00013_c|C00059_c|C00224_c
R00533_c	C00001_c|C00007_c|C00027_c|C00059_c|C00094_c
R00538_c	C00001_c|C00003_c|C00004_c|C00008_c|C00060_c|C00071_c
R00540_c	C00001_c|C00014_c|C00060_c|C00726_c
R00548_c	C00001_c|C00009_c|C00061_c|C00255_c
R00549_c	C00002_c|C00008_c|C00061_c|C00255_c
R00551_c	C00001_c|C00062_c|C00077_c|C00086_c
R00566_c	C00011_c|C00062_c|C00179_c
R00569_c	C00001_c|C00009_c|C00063_c|C00112_c
R00570_c	C00002_c|C00008_c|C00063_c|C00112_c
R00571_c	C00002_c|C00008_c|C00009_c|C00014_c|C00063_c|C00075_c
R00573_c	C00001_c|C00002_c|C00008_c|C00009_c|C00025_c|C00063_c|C00064_c|C00075_c
R00575_c	C00001_c|C00002_c|C00008_c|C00009_c|C00025_c|C00064_c|C00169_c|C00288_c
R00575_m	C00001_m|C00002_m|C00008_m|C00009_m|C00025_m|C00064_m|C00169_m|C00288_m
R00578_c	C00001_c|C00002_c|C00013_c|C00020_c|C00025_c|C00049_c|C00064_c|C00152_c
R00582_c	C00001_c|C00009_c|C00065_c|C01005_c
R00586_c	C00010_c|C00024_c|C00065_c|C00979_c
R00588_x	C00037_x|C00048_x|C00065_x|C00168_x
R00589_c	C00065_c|C00740_c
R00602_c	C00001_c|C00027_c|C00067_c|C00132_c
R00610_c	C00001_c|C00007_c|C00027_c|C00037_c|C00067_c|C00213_c
R00615_c	C00001_c|C00009_c|C00068_c|C01081_c
R00616_c	C00002_c|C00008_c|C00068_c|C03028_c
R00619_c	C00002_c|C00020_c|C00068_c|C00378_c
R00621_m	C00011_m|C00026_m|C00068_m|C05381_m
R00623_c	C00003_c|C00004_c|C00071_c|C00080_c|C00226_c
R00631_c	C00001_c|C00003_c|C00004_c|C00071_c|C00162_c
R00636_c	C00008_c|C00011_c|C00071_c|C00161_c
R00640_c	C00072_c|C00125_c|C00126_c|C01115_c
R00644_c	C00001_c|C00027_c|C00072_c|C05422_c
R00644_tmx	C00001_x|C00027_x|C00072_c|C05422_c
R00645_c	C00072_c|C00080_c|C01041_c
R00649_c	C00019_c|C00021_c|C00073_c|C03172_c
R00650_c	C00019_c|C00021_c|C00073_c|C00155_c
R00658_c	C00001_c|C00074_c|C00631_c
R00658_p	C00001_p|C00074_p|C00631_p
R00662_c	C00001_c|C00013_c|C00075_c|C00105_c
R00667_c	C00025_c|C00026_c|C00077_c|C01165_c
R00669_c	C00001_c|C00033_c|C00077_c|C00437_c
R00685_c	C00011_c|C00078_c|C00398_c
R00691_c	C00001_c|C00011_c|C00079_c|C00826_c
R00694_c	C00025_c|C00026_c|C00079_c|C00166_c
R00697_c	C00014_c|C00079_c|C00423_c
R00698_c	C00079_c|C02505_c
R00699_c	C00011_c|C00079_c|C05332_c
R00702_c	C00013_c|C00080_c|C00448_c|C03428_c
R00703_c	C00003_c|C00004_c|C00022_c|C00080_c|C00186_c
R00705_c	C00003_c|C00004_c|C00010_c|C00011_c|C00024_c|C00080_c|C00222_c
R00709_m	C00003_m|C00004_m|C00011_m|C00026_m|C00080_m|C00311_m
R00710_c	C00001_c|C00003_c|C00004_c|C00033_c|C00080_c|C00084_c
R00711_c	C00001_c|C00005_c|C00006_c|C00033_c|C00080_c|C00084_c
R00713_c	C00001_c|C00003_c|C00004_c|C00042_c|C00080_c|C00232_c
R00714_c	C00001_c|C00005_c|C00006_c|C00042_c|C00080_c|C00232_c
R00715_c	C00001_c|C00003_c|C00004_c|C00026_c|C00047_c|C00080_c|C00449_c
R00716_c	C00001_c|C00005_c|C00006_c|C00026_c|C00047_c|C00080_c|C00449_c
R00719_c	C00001_c|C00009_c|C00081_c|C00104_c
R00720_c	C00001_c|C00013_c|C00081_c|C00130_c
R00722_c	C00002_c|C00008_c|C00081_c|C00104_c
R00734_c	C00025_c|C00026_c|C00082_c|C01179_c
R00736_c	C00011_c|C00082_c|C00483_c
R00737_c	C00014_c|C00082_c|C00811_c
R00742_c	C00002_c|C00008_c|C00009_c|C00024_c|C00083_c|C00288_c
R00742_p	C00002_p|C00008_p|C00009_p|C00024_p|C00083_p|C00288_p
R00750_c	C00022_c|C00084_c|C03589_c
R00754_c	C00003_c|C00004_c|C00080_c|C00084_c|C00469_c
R00755_c	C00068_c|C00084_c|C05125_c
R00756_c	C00002_c|C00008_c|C00085_c|C00354_c
R00760_c	C00002_c|C00008_c|C00085_c|C00095_c
R00762_c	C00001_c|C00009_c|C00085_c|C00354_c
R00762_p	C00001_p|C00009_p|C00085_p|C00354_p
R00763_c	C00001_c|C00009_c|C00085_c|C00665_c
R00764_c	C00008_c|C00009_c|C00013_c|C00085_c|C00354_c
R00766_c	C00015_c|C00029_c|C02591_c|C05345_c
R00768_c	C00025_c|C00064_c|C00085_c|C00352_c
R00769_c	C00008_c|C00015_c|C00075_c|C00085_c|C00354_c
R00770_c	C00008_c|C00081_c|C00085_c|C00104_c|C00354_c
R00771_c	C00085_c|C00092_c
R00776_c	C00048_c|C00086_c|C00603_c
R00782_c	C00001_c|C00014_c|C00022_c|C00097_c|C00283_c
R00790_c	C00001_c|C00014_c|C00080_c|C00088_c|C00138_c|C00139_c
R00790_p	C00001_p|C00014_p|C00080_p|C00088_p|C00138_p|C00139_p
R00794_c	C00001_c|C00003_c|C00004_c|C00080_c|C00088_c|C00244_c
R00801_c	C00001_c|C00031_c|C00089_c|C00095_c
R00802_c	C00001_c|C00089_c|C00267_c|C02336_c
R00805_c	C00001_c|C00009_c|C00089_c|C02591_c
R00806_c	C00015_c|C00029_c|C00089_c|C00095_c
R00829_c	C00010_c|C00024_c|C00091_c|C02232_c
R00834_c	C00005_c|C00006_c|C00080_c|C00092_c|C01096_c
R00840_c	C00092_c|C01177_c
R00842_c	C00003_c|C00004_c|C00080_c|C00093_c|C00111_c
R00847_c	C00002_c|C00008_c|C00093_c|C00116_c
R00848_c	C00016_c|C00093_c|C00111_c|C01352_c
R00851_c	C00010_c|C00040_c|C00093_c|C00681_c
R00859_c	C00001_c|C00094_c|C00138_c|C00139_c|C00283_c
R00867_c	C00002_c|C00008_c|C00095_c|C05345_c
R00875_c	C00003_c|C00004_c|C00080_c|C00095_c|C00794_c
R00876_c	C00008_c|C00081_c|C00085_c|C00095_c|C00104_c
R00878_c	C00095_c|C00267_c
R00883_c	C00009_c|C00035_c|C00096_c|C00636_c
R00887N_c	C00035_c|C00096_c|C00464_c
R00888_c	C00001_c|C00096_c|C01222_c
R00889_c	C00096_c|C02280_c
R00890_c	C00035_c|C00096_c|C02492_c
R00894_c	C00002_c|C00008_c|C00009_c|C00025_c|C00097_c|C00669_c
R00895_c	C00025_c|C00026_c|C00097_c|C00957_c
R00896_c	C00026_c|C00097_c|C00302_c|C00957_c
R00897_c	C00033_c|C00097_c|C00283_c|C00979_c
R00899_c	C00001_c|C00037_c|C00097_c|C01419_c
R00904_c	C00001_c|C00003_c|C00004_c|C00099_c|C05665_c
R00905_c	C00001_c|C00011_c|C00014_c|C00099_c|C02642_c
R00919_c	C00005_c|C00006_c|C00100_c|C00894_c
R00924_c	C00016_c|C00100_c|C00894_c|C01352_c
R00926_c	C00010_c|C00020_c|C00100_c|C05983_c
R00927_c	C00010_c|C00024_c|C00100_c|C03344_c
R00935_c	C00003_c|C00004_c|C00010_c|C00011_c|C00080_c|C00100_c|C06002_c
R00936_c	C00003_c|C00004_c|C00080_c|C00101_c|C00415_c
R00937_c	C00003_c|C00004_c|C00101_c|C00504_c
R00939_c	C00005_c|C00006_c|C00080_c|C00101_c|C00415_c
R00940_c	C00005_c|C00006_c|C00101_c|C00504_c
R00942_c	C00002_c|C00008_c|C00009_c|C00025_c|C00101_c|C09332_c
R00943_c	C00002_c|C00008_c|C00009_c|C00058_c|C00101_c|C00234_c
R00944_c	C00001_c|C00058_c|C00101_c|C00234_c
R00945_c	C00001_c|C00037_c|C00065_c|C00101_c|C00143_c
R00945_m	C00001_m|C00037_m|C00065_m|C00101_m|C00143_m
R00946_c	C00073_c|C00101_c|C00155_c|C00440_c
R00948_c	C00002_c|C00013_c|C00103_c|C00498_c
R00948_p	C00002_p|C00013_p|C00103_p|C00498_p
R00951_c	C00001_c|C00020_c|C00103_c|C00498_c
R00959_c	C00103_c|C00668_c
R00959_p	C00103_p|C00668_p
R00961_c	C00001_c|C00009_c|C00104_c|C00130_c
R00962_c	C00055_c|C00081_c|C00104_c|C00475_c
R00963_c	C00001_c|C00009_c|C00105_c|C00299_c
R00964_c	C00002_c|C00008_c|C00105_c|C00299_c
R00965_c	C00011_c|C00105_c|C01103_c
R00966_c	C00013_c|C00105_c|C00106_c|C00119_c
R00967_c	C00015_c|C00075_c|C00105_c|C00299_c
R00968_c	C00035_c|C00044_c|C00105_c|C00299_c
R00970_c	C00081_c|C00104_c|C00105_c|C00299_c
R00974_c	C00001_c|C00014_c|C00106_c|C00380_c
R00978_c	C00005_c|C00006_c|C00080_c|C00106_c|C00429_c
R00985_c	C00001_c|C00014_c|C00022_c|C00108_c|C00251_c
R00986_c	C00022_c|C00025_c|C00064_c|C00108_c|C00251_c
R00994_c	C00003_c|C00004_c|C00011_c|C00080_c|C00109_c|C06032_c
R00996_c	C00014_c|C00109_c|C00188_c
R00999_c	C00001_c|C00014_c|C00042_c|C00109_c|C01118_c
R01000_c	C00003_c|C00004_c|C00080_c|C00109_c|C05984_c
R01001_c	C00001_c|C00014_c|C00097_c|C00109_c|C02291_c
R01004_c	C00001_c|C00009_c|C00110_c|C00621_c
R01005_c	C00015_c|C00029_c|C00110_c|C01246_c
R01009_c	C00035_c|C00096_c|C00110_c|C03862_c
R01010_c	C00001_c|C00009_c|C00111_c|C00184_c
R01015_c	C00111_c|C00118_c
R01015_p	C00111_p|C00118_p
R01021_c	C00002_c|C00008_c|C00114_c|C00588_c
R01030_c	C00001_c|C00093_c|C00114_c|C00670_c
R01036_c	C00003_c|C00004_c|C00080_c|C00116_c|C00577_c
R01041_c	C00005_c|C00006_c|C00080_c|C00116_c|C00577_c
R01049_c	C00002_c|C00020_c|C00117_c|C00119_c
R01051_c	C00002_c|C00008_c|C00117_c|C00121_c
